Circunscripción,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Atacama,,,"('José', 'Antonio', 'Montt', 'Goyenechea')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Antonio_Montt_Goyenechea
Atacama,Partido Radical,PR,"('Manuel', 'Antonio', 'Matta', 'Goyenechea')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Antonio_Matta_Goyenechea
Coquimbo,,,"('Benjamín', 'Vicuña', 'Mackenna')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Benjamín_Vicuña_Mackenna
Coquimbo,,,"('Manuel', 'Jerónimo', 'Urmeneta', 'García')",,,*,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Jerónimo_Urmeneta_García
Coquimbo,Partido Nacional,PN,"('Antonio', 'Varas', 'de la Barra')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Antonio_Varas_de_la_Barra
Coquimbo,Partido Nacional,PN,"('Teodosio', 'Cuadros')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Teodosio_Cuadros
Aconcagua,,,"('Belisario', 'Matías', 'Prats', 'Pérez')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Belisario_Matías_Prats_Pérez
Aconcagua,,,"('Miguel', 'Elizalde', 'Jiménez')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Miguel_Elizalde_Jiménez
Aconcagua,Partido Nacional,PN,"('José', 'Eugenio', 'Vergara', 'Galeas')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Eugenio_Vergara_Galeas
Aconcagua,Partido Conservador,PCon,"('Liborio', 'Ramón', 'Freire', 'Caldera')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Liborio_Ramón_Freire_Caldera
Valparaíso,,,"('José', 'María', 'Barceló', 'Carvallo')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_María_Barceló_Carvallo
Valparaíso,,,"('Pedro', 'Nolasco', 'Marcoleta', 'Dávila')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Nolasco_Marcoleta_Dávila
Valparaíso,Partido Liberal,PL,"('Juan', 'de Dios', 'Arlegui', 'Gorbea')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_de_Dios_Arlegui_Gorbea
Valparaíso,Partido Liberal,PL,"('José', 'Victorino', 'Lastarria', 'Santander')",,,*,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Victorino_Lastarria_Santander
Santiago,,,"('Lorenzo', 'Claro', 'Cruz')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Lorenzo_Claro_Cruz
Santiago,Partido Conservador,PCon,"('José', 'Rafael', 'Larraín', 'Moxó')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Rafael_Larraín_Moxó
Santiago,Partido Conservador,PCon,"('Domingo', 'Atanasio', 'Fernández', 'Concha')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Domingo_Atanasio_Fernández_Concha
Santiago,Partido Conservador,PCon,"('Francisco', 'de Borja', 'Larraín', 'Gandarillas')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_de_Borja_Larraín_Gandarillas
Santiago,Partido Conservador,PCon,"('Manuel', 'José', 'Irarrázaval', 'Larraín')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_José_Yrarrázaval_Larraín
Santiago,Partido Liberal,PL,"('Claudio', 'Vicuña', 'Guerrero')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Claudio_Vicuña_Guerrero
Santiago,Partido Liberal,PL,"('Álvaro', 'José', 'Miguel', 'Covarrubias', 'Ortúzar')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Álvaro_José_Miguel_Covarrubias_Ortúzar
Colchagua,,,"('Juan', 'José', 'Echenique', 'Bascuñán')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_José_Echenique_Bascuñán
Colchagua,Partido Nacional,PN,"('José', 'Miguel', 'Ureta', 'Urriola')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Miguel_Ureta_Urriola
Colchagua,Partido Conservador,PCon,"('Francisco', 'Javier', 'Errázuriz', 'Echaurren')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Javier_Errázuriz_Echaurren
Colchagua,Partido Liberal,PL,"('Manuel', 'Valdés', 'Vigil')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Valdés_Vigil
Curicó,,,"('Manuel', 'Joaquín', 'Valenzuela', 'Castillo')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Joaquín_Valenzuela_Castillo
Curicó,Partido Nacional,PN,"('Waldo', 'Silva', 'Algue')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Waldo_Silva_Algue
Curicó,Partido Liberal,PL,"('Alejandro', 'Matías', 'Luis', 'Ignacio', 'Reyes', 'Cotapos')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alejandro_Matías_Luis_Ignacio_Reyes_Cotapos
Talca,,,"('Ursicinio', 'Opaso', 'Silva')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ursicinio_Opaso_Silva
Talca,,,"('Manuel', 'Martín', 'José', 'Recabarren', 'Rencoret')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Martín_José_Recabarren_Rencoret
Talca,Partido Conservador,PCon,"('Luis', 'Pereira', 'Cotapos')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Pereira_Cotapos
Linares,,,"('José', 'Agustín', 'Salas', 'Errázuriz')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Agustín_Salas_Errázurriz
Linares,,,"('José', 'Luis', 'Donoso', 'Cienfuegos')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Luis_Donoso_Cienfuegos
Linares,,,"('Ramón', 'Francisco', 'Rozas', 'Mendiburú')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ramón_Francisco_Rozas_Mendiburú
Maule,,,"('Marcial', 'Martínez', 'Cuadros')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marcial_Martínez_Cuadros
Maule,,,"('Miguel', 'Roberto', 'Guzmán', 'Palacios')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Miguel_Roberto_Guzmán_Palacios
