Circunscripción,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Tarapacá y Antofagasta,Liberales,PL,"('Fernando', 'Alessandri', 'Rodríguez')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fernando_Alessandri_Rodríguez
Tarapacá y Antofagasta,Radicales,PRS,"('Jorge', 'Wachholtz', 'Araya')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Wachholtz_Araya
Tarapacá y Antofagasta,Radicales,PR,"('Alberto', 'Cabero', 'Díaz')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alberto_Cabero_Díaz
Tarapacá y Antofagasta,Radicales,PRS,"('Luis', 'Bustamante', 'Cordero')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Bustamante_Cordero
Tarapacá y Antofagasta,Radicales,PRS,"('Aurelio', 'Núñez', 'Morgado')",,,*,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Aurelio_Núñez_Morgado
Tarapacá y Antofagasta,Partido Social Republicano,PSR,"('Manuel', 'Hidalgo', 'Plaza')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Hidalgo_Plaza
Atacama y Coquimbo,Liberales,PL,"('Abraham', 'Gatica', 'Silva')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Abraham_Gatica_Silva
Atacama y Coquimbo,Liberales,PL,"('José', 'Manuel', 'Ríos', 'Arias')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Manuel_Ríos_Arias
Atacama y Coquimbo,Liberales,PL,"('Guillermo', 'Portales', 'Vicuña')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Guillermo_Portales_Vicuña
Atacama y Coquimbo,Partido Demócrata,PD,"('Aquiles', 'Concha', 'Stuardo')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Aquiles_Concha_Stuardo
Atacama y Coquimbo,Radicales,PR,"('Rodolfo', 'Michels', 'Cabero')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rodolfo_Michels_Cabero
Atacama y Coquimbo,Radicales,PR,"('Nicolás', 'Marambio', 'Montt')",,,*,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Nicolás_Marambio_Montt
Aconcagua y Valparaíso,Liberales,PLU,"('Álvaro', 'Santa María', 'Cerveró')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Álvaro_Santa_María_Cerveró
