Circunscripción,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Antofagasta,Partido Radical,PR,"('Héctor', 'Arancibia', 'Laso')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Héctor_Arancibia_Laso
Tarapacá,Partido Radical,PR,"('Ramón', 'Briones', 'Luco')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ramón_Briones_Luco
Atacama,Partido Radical,PR,"('Enrique', 'Mac-Iver', 'Rodríguez')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Enrique_Mac_Iver_Rodríguez
Coquimbo,Partido Radical,PR,"('Alfredo', 'Escobar', 'Campaña')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alfredo_Escobar_Campaña
Coquimbo,Partido Liberal Doctrinario,PLDo,"('Abraham', 'Gatica', 'Silva')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Abraham_Gatica_Silva
Aconcagua,Partido Conservador,PCon,"('Arturo', 'Lyon', 'Peña')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Arturo_Lyon_Peña
Aconcagua,Partido Liberal,PL,"('Luis', 'Claro', 'Solar')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Claro_Solar
Valparaíso,Partido Conservador,PCon,"('Rafael', 'Urrejola', 'Mulgrew')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rafael_Urrejola_Mulgrew
Valparaíso,Partido Liberal,PL,"('Guillermo', 'Rivera', 'Cotapos')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Guillermo_Rivera_Cotapos
Valparaíso,Partido Liberal,PL,"('Luis', 'Garnham', 'Moreno')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Garnham_Moreno
Santiago,Partido Radical,PR,"('Armando', 'Quezada', 'Acharán')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Armando_Quezada_Acharán
Santiago,,,"('Ismael', 'Tocornal', 'Tocornal')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ismael_Tocornal_Tocornal
Santiago,Partido Conservador,PCon,"('Francisco', 'Huneeus', 'Gana')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Huneeus_Gana
Santiago,Partido Conservador,PCon,"('Joaquín', 'Echenique', 'Gandarillas')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Joaquín_Echenique_Gandarillas
Santiago,Partido Democrático,PDo,"('Zenón', 'Torrealba', 'Ilabaca')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Zenón_Torrealba_Ilabaca
Santiago,Partido Democrático,PDo,"('Guillermo', 'Mentor', 'Bañados', 'Honorato')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Guillermo_Mentor_Bañados_Honorato
Santiago,Partido Nacional o Monttvarista,PN,"('Régulo', 'Valenzuela', 'Riveros')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Régulo_Valenzuela_Riveros
O'Higgins,Partido Conservador,PCon,"('Juan', 'Enrique', 'Concha', 'Subercaseaux')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Enrique_Concha_Subercaseaux
Colchagua,Partido Conservador,PCon,"('Alberto', 'Félix', 'del Carmen', 'González', 'Errázuriz')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alberto_Félix_del_Carmen_González_Errázuriz
Colchagua,Partido Conservador,PCon,"('Roberto', 'Lyon', 'Santa María')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Roberto_Lyon_Santa_María
Colchagua,Partido Liberal,PL,"('Eduardo', 'Opaso', 'Letelier')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eduardo_Opaso_Letelier
Colchagua,Partido Liberal,PL,"('Jorge', 'Errázuriz', 'Tagle')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Errázuriz_Tagle
Curicó,Partido Liberal,PL,"('Ladislao', 'Errázuriz', 'Lazcano')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ladislao_Errázuriz_Lazcano
Curicó,Partido Liberal,PL,"('Fernando', 'Liborio', 'Lazcano', 'Echaurren')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fernando_Liborio_Lazcano_Echaurren
