Circunscripción,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
1,Frente Popular,PS,"('Oscar', 'Alex', 'Enrique', 'Schnake', 'Vergara')",,,*,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Oscar_Alex_Enrique_Schnake_Vergara
1,Frente Popular,PS,"('Carlos', 'Alberto', 'Martínez', 'Martínez')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Alberto_Martínez_Martínez
1,Frente Popular,PND,"('Elías', 'Lafertte', 'Gaviño')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Elías_Lafertte_Gaviño
1,Frente Popular,PR,"('Osvaldo', 'Hiriart', 'Corvalán')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Osvaldo_Hiriart_Corvalán
1,Alianza Liberal-Conservadora,PL,"('Fernando', 'Alessandri', 'Rodríguez')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fernando_Alessandri_Rodríguez
1,Alianza Liberal-Conservadora,PCon,"('Miguel', 'Cruchaga', 'Tocornal')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Miguel_Cruchaga_Tocornal
2,Frente Popular,PR,"('Rodolfo', 'Michels', 'Cabero')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rodolfo_Michels_Cabero
2,Partido Demócrata,PD,"('Aquiles', 'Concha', 'Stuardo')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Aquiles_Concha_Stuardo
2,Alianza Liberal-Conservadora,PL,"('José', 'Manuel', 'Ríos', 'Arias')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Manuel_Ríos_Arias
2,Alianza Liberal-Conservadora,PL,"('Abraham', 'Gatica', 'Silva')",,,*,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Abraham_Gatica_Silva
2,Alianza Liberal-Conservadora,PL,"('Guillermo', 'Portales', 'Vicuña')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Guillermo_Portales_Vicuña
3,Frente Popular,PR,"('Celso', 'Aníbal', 'Cruzat', 'Ortega')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Celso_Aníbal_Cruzat_Ortega
3,Frente Popular,PS,"('Hugo', 'Grove', 'Vallejo')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Hugo_Grove_Vallejo
