Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Copiapó,,,"('Manuel', 'Antonio', 'Matta', 'Goyenechea')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Antonio_Matta_Goyenechea
Copiapó,,,"('Eusebio', 'Squella', 'Lopetegui')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eusebio_Squella_Lopetegui
Copiapó,,,"('José', 'Victorino', 'Lastarria', 'Santander')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Victorino_Lastarria_Santander
Vallenar,,,"('José', 'Zacarías', 'Ávalos', 'Larrahona')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Zacarías_Avalos_Larrahona
Vallenar,,,"('José', 'Santiago', 'Montt', 'Albano')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Santiago_Montt_Albano
La Serena,,,"('Ramón', 'González', 'Concha')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ramón_González_Concha
Elqui,,,"('Ambrosio', 'Olivos', 'Gómez')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ambrosio_Olivos_Gómez
Elqui,,,"('Santiago', 'Prado', 'Bustamante')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Santiago_Prado_Bustamante
Ovalle,,,"('Francisco', 'Humeres', 'Arcaya')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Humeres_Arcaya
Ovalle,,,"('Buenaventura', 'Castro', 'Solís')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Buenaventura_Castro_Solís
Ovalle,,,"('Mariano', 'Ariztía', 'Astaburuaga')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mariano_De_Ariztía_Astaburuaga
