Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Tarapacá,Partido Liberal Democrático,PLDe,"('Enrique', 'del Campo', 'Yávar')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Enrique_Del_Campo_Yávar
Tarapacá,Partido Liberal Democrático,PLDe,"('Manuel', 'Salinas', 'González')",,,*,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Salinas_González
Tarapacá,Partido Radical,PR,"('Carlos', 'Toribio', 'Robinet', 'Lambarri')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Toribio_Robinet_Lambarri
Antofagasta,Partido Liberal Democrático,PLDe,"('Agustín', 'Lazcano', 'Echaurren')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Agustín_Lazcano_Echaurren
Antofagasta,Partido Radical,PR,"('Anfión', 'Muñoz', 'Muñoz')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Anfión_Muñoz_Muñoz
Copiapó,Partido Liberal Democrático,PLDe,"('Arturo', 'Besa', 'Navarro')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Arturo_Besa_Navarro
Copiapó,Partido Radical,PR,"('Santiago', 'Toro', 'Lorca')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Santiago_Toro_Lorca
Copiapó,,,"('José', 'Ramón', 'Nieto', 'Nieto')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Ramón_Nieto_Nieto
La Serena,Partido Liberal Democrático,PLDe,"('José', 'Rafael', 'del Carmen', 'Balmaceda', 'Fernández')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Rafael_del_Carmen_Balmaceda_Fernández
La Serena,,,"('Víctor', 'Echaurren', 'Valero')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Víctor_Echaurren_Valero
La Serena,,,"('Daniel', 'Feliú', 'Manterola')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Daniel_Feliú_Manterola
Ovalle,Partido Conservador,PCon,"('Fernando', 'Julio', 'Irarrázaval', 'Mackenna')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fernando_Julio_Yrarrázaval_Mackenna
Ovalle,Partido Liberal,PL,"('Daniel', 'Camilo', 'Bernales', 'Mancheño')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Daniel_Camilo_Bernales_Mancheño
Ovalle,Partido Liberal Democrático,PLDe,"('Ismael', 'Pérez', 'Montt')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ismael_Pérez_Montt
Ovalle,Partido Liberal Democrático,PLDe,"('Julio', 'Bañados', 'Espinosa')",,,*,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Julio_Bañados_Espinosa
Ovalle,Partido Radical,PR,"('Abraham', 'Konig', 'Velásquez')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Abraham_Konig_Velásquez
Petorca,Partido Liberal Democrático,PLDe,"('Aníbal', 'Herquíñigo', 'Herreros')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Aníbal_Herquíñigo_Herreros
Petorca,,,"('Pedro', 'Montt', 'Montt')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Montt_Montt
San Felipe,Partido Conservador,PCon,"('Fernando', 'Álamos', 'Vargas')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fernando_Álamos_Vargas
San Felipe,Partido Liberal Democrático,PLDe,"('José', 'Agustín', 'Verdugo', 'Guzmán')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Agustín_Verdugo_Guzmán
San Felipe,,,"('Eduardo', 'Videla', 'Correas')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eduardo_Videla_Correas
Quillota,Partido Conservador,PCon,"('Rafael', 'Ariztía', 'Lyon')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rafael_Ariztía_Lyon
Quillota,Partido Liberal Democrático,PLDe,"('Roberto', 'Edwardson', 'Meeks')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Roberto_Edwardson_Meeks
Quillota,,,"('José', 'Eugenio', 'Guzmán', 'Irarrázaval')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Eugenio_Guzmán_Yrarrázaval
Valparaíso,Partido Conservador,PCon,"('Enrique', 'Richard', 'Fontecilla')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Enrique_Richard_Fontecilla
Valparaíso,Partido Liberal Democrático,PLDe,"('Emilio', 'Bello', 'Codesido')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Emilio_Bello_Codesido
Valparaíso,Partido Nacional o Monttvarista,PN,"('Alejo', 'Barrios', 'Contreras')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alejo_Barrios_Contreras
Valparaíso,Partido Demócrata,PD,"('Ángel', 'Guarello', 'Costa')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Angel_Guarello_Costa
Santiago,Partido Conservador,PCon,"('Alberto', 'Félix', 'del Carmen', 'González', 'Errázuriz')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alberto_Félix_del_Carmen_González_Errázuriz
Santiago,Partido Conservador,PCon,"('Federico', 'Scotto', 'Hermoso')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Federico_Scotto_Hermoso
Santiago,Partido Conservador,PCon,"('Carlos', 'Concha', 'Subercaseaux')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Concha_Subercaseaux
Santiago,Partido Liberal Democrático,PLDe,"('Agustín', 'del Río', 'Villalobos')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Agustín_Del_Río_Villalobos
Santiago,Partido Radical,PR,"('Enrique', 'Mac-Iver', 'Rodríguez')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Enrique_Mac_Iver_Rodríguez
Santiago,Partido Nacional o Monttvarista,PN,"('Eduardo', 'Mac-Clure', 'Ossandón')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eduardo_Mac_Clure_Ossandón
Santiago,,,"('Eduardo', 'Matte', 'Pérez')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eduardo_Matte_Pérez
Santiago,Partido Democrático,PDo,"('Artemio', 'Gutiérrez', 'Vidal')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Artemio_Gutiérrez_Vidal
La Victoria,Partido Liberal Democrático,PLDe,"('Daniel', 'Santelices', 'Cerda')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Daniel_Santelices_Cerda
La Victoria,,,"('Manuel', 'Jesús', 'Madrid', 'Quezada')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Jesús_Madrid_Quezada
La Victoria,,,"('José', 'Francisco', 'Fabres', 'Ríos')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Francisco_Fabres_Ríos
Rancagua,Partido Conservador,PCon,"('Pastor', 'Infante', 'Concha')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pastor_Infante_Concha
Rancagua,Partido Conservador,PCon,"('Luis', 'Gonzaga', 'Larraín', 'Prieto')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Gonzaga_Larraín_Prieto
Rancagua,Partido Liberal Democrático,PLDe,"('Francisco', 'Herboso', 'España')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Herboso_España
Caupolicán,Partido Conservador,PCon,"('Joaquín', 'Echenique', 'Gandarillas')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Joaquín_Echenique_Gandarillas
Caupolicán,Partido Liberal Democrático,PLDe,"('Rafael', 'Zuaznábar', 'Morales')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rafael_Zuaznábar_Morales
Caupolicán,,,"('José', 'Luis', 'Jordán', 'Tocornal')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Luis_Jordán_Tocornal
San Fernando,Partido Conservador,PCon,"('Daniel', 'Ortúzar', 'Cuevas')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Daniel_Ortúzar_Cuevas
San Fernando,,,"('Víctor', 'Ismael', 'Valdés', 'Valdés')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Víctor_Ismael_Valdés_Valdés
San Fernando,,,"('José', 'Domingo', 'Jaramillo', 'Urzúa')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Domingo_Jaramillo_Urzúa
Curicó,Partido Conservador,PCon,"('Manuel', 'Joaquín', 'Díaz', 'Besoaín')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Joaquín_Díaz_Besoaín
Curicó,Partido Liberal,PL,"('Arturo', 'Alessandri', 'Palma')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Arturo_Alessandri_Palma
Curicó,Partido Liberal Democrático,PLDe,"('Pedro', 'Donoso', 'Vergara')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Donoso_Vergara
Talca,Partido Conservador,PCon,"('Clodomiro', 'Silva', 'Silva')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Clodomiro_Silva_Silva
Talca,Partido Liberal Democrático,PLDe,"('Agustín', 'del Solar', 'de la Cruz')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Agustín_Del_Solar_de_la_Cruz
Talca,Partido Radical,PR,"('José', 'Bruno', 'González', 'Julio')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Bruno_González_Julio
Talca,,,"('José', 'Bonifacio', 'Vergara', 'Correa')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Bonifacio_Vergara_Correa
Linares,Partido Conservador,PCon,"('Abraham', 'Ovalle', 'Ovalle')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Abraham_Ovalle_Ovalle
Linares,Partido Liberal,PL,"('José', 'Florencio', 'Valdés', 'Cuevas')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Florencio_Valdés_Cuevas
Linares,Partido Liberal,PL,"('Maximiliano', 'Ibáñez', 'Ibáñez')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Maximiliano_Ibáñez_Ibáñez
Linares,,,"('Manuel', 'Antonio', 'Cañas', 'Letelier')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Antonio_Cañas_Letelier
Constitución,Partido Liberal,PL,"('Julio', 'Arístides', 'Baldomero', 'Baltasar', 'Alemany', 'Sánchez')",,,,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Julio_Arístides_Baldomero_Baltasar_Alemany_Sánchez
Constitución,Partido Radical,PR,"('Eufrosino', 'Casal', 'Hidalgo')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eufrosino_Casal_Hidalgo
Constitución,,,"('José', 'Miguel', 'Echenique', 'Gandarillas')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Miguel_Echenique_Gandarillas
Constitución,,,"('Ismael', 'Tocornal', 'Tocornal')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ismael_Tocornal_Tocornal
Itata,Partido Conservador,PCon,"('Gonzalo', 'Urrejola', 'Unzueta')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gonzalo_Urrejola_y_Unzueta
Itata,Partido Radical,PR,"('Víctor', 'Manuel', 'Lamas', 'Benavente')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Víctor_Manuel_Lamas_Benavente
Chillán,Partido Conservador,PCon,"('Macario', 'Ossa', 'Cerda')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Macario_Ossa_Cerda
