Circunscripción,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
1,Frente de Acción Popular,PS,"('Raúl', 'Galvarino', 'Ampuero', 'Díaz')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Raúl_Galvarino_Ampuero_Díaz
1,Frente de Acción Popular,PC,"('Víctor', 'Benito', 'Contreras', 'Tapia')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Víctor_Benito_Contreras_Tapia
1,Frente Democrático,PL,"('Fernando', 'Alessandri', 'Rodríguez')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fernando_Alessandri_Rodríguez
1,Frente Democrático,PR,"('Jonás', 'Gómez', 'Gallo')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jonás_Gómez_Gallo
1,Frente Democrático,PR,"('Juan', 'Luis', 'Maurás', 'Novella')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Luis_Maurás_Novella
2,Frente de Acción Popular,PS,"('Alejandro', 'Chelén', 'Rojas')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alejandro_Chelén_Rojas
2,Frente Democrático,PR,"('Isauro', 'Torres', 'Cereceda')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Isauro_Torres_Cereceda
2,Frente Democrático,PL,"('Hugo', 'Alejandro', 'Zepeda', 'Barrios')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Hugo_Alejandro_Zepeda_Barrios
2,Frente Democrático,PR,"('Humberto', 'Álvarez', 'Suárez')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Humberto_Álvarez_Suárez
2,Frente Democrático,PL,"('Hernán', 'Videla', 'Lira')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Hernán_Videla_Lira
3,Frente de Acción Popular,PC,"('Jaime', 'Barros', 'Pérez-Cotapos')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Barros_Pérez-Cotapos
3,Frente de Acción Popular,PS,"('Salvador', 'Allende', 'Gossens')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Salvador_Allende_Gossens
3,Partido Demócrata Cristiano,PDC,"('Radomiro', 'Tomic', 'Romero')",,,*,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Radomiro_Tomic_Romero
3,Partido Demócrata Cristiano,PDC,"('Benjamín', 'Prado', 'Casas')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Benjamín_Prado_Casas
3,Frente Democrático,PR,"('Luis', 'Bossay', 'Leiva')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Bossay_Leiva
3,Frente Democrático,PL,"('Pedro', 'Ibáñez', 'Ojeda')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Ibáñez_Ojeda
4,Frente de Acción Popular,PS,"('Luis', 'Alberto', 'Quinteros', 'Tricot')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Alberto_Quinteros_Tricot
4,Partido Demócrata Cristiano,PDC,"('Eduardo', 'Frei', 'Montalva')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eduardo_Frei_Montalva
4,Frente Democrático,PCU,"('Bernardo', 'Larraín', 'Vial')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Bernardo_Larraín_Vial
4,Frente Democrático,PR,"('Francisco', 'Alejandro', 'Roberto', 'Wachholtz', 'Araya')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Alejandro_Roberto_Wachholtz_Araya
4,Frente Democrático,PR,"('Ángel', 'Faivovich', 'Hitzcovich')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ángel_Faivovich_Hitzcovich
5,Frente de Acción Popular,VNP,"('Isaac', 'Florencio', 'Baltazar', 'Castro', 'Palma')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Isaac_Florencio_Baltazar_Castro_Palma
5,Frente de Acción Popular,PS,"('Salomón', 'Corbalán', 'González')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Salomón_Corbalán_González
5,Frente Democrático,PR,"('Hermes', 'Ahumada', 'Pacheco')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Hermes_Ahumada_Pacheco
