Circunscripción,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Tarapacá y Antofagasta,Partido Conservador,PCon,"('Miguel', 'Cruchaga', 'Tocornal')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Miguel_Cruchaga_Tocornal
Tarapacá y Antofagasta,Partido Liberal,PL,"('Fernando', 'Alessandri', 'Rodríguez')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fernando_Alessandri_Rodríguez
Tarapacá y Antofagasta,Frente Popular,PPN,"('Elías', 'Lafertte', 'Gaviño')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Elías_Lafertte_Gaviño
Tarapacá y Antofagasta,Frente Popular,PR,"('Leónardo', 'Guzmán', 'Cortés')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Leonardo_Guzmán_Cortés
Tarapacá y Antofagasta,Frente Popular,PR,"('Osvaldo', 'Hiriart', 'Corvalán')",,,*,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Osvaldo_Hiriart_Corvalán
Tarapacá y Antofagasta,Partido Socialista,PS,"('Carlos', 'Alberto', 'Martínez', 'Martínez')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Alberto_Martínez_Martínez
Atacama y Coquimbo,Partido Liberal,PL,"('Hernán', 'Videla', 'Lira')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Hernán_Videla_Lira
Atacama y Coquimbo,Frente Popular,PPN,"('Guillermo', 'Guevara', 'Vargas')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Guillermo_Guevara_Vargas
Atacama y Coquimbo,Frente Popular,PR,"('Humberto', 'Álvarez', 'Suárez')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Humberto_Álvarez_Suárez
Atacama y Coquimbo,Frente Popular,PR,"('Isauro', 'Torres', 'Cereceda')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Isauro_Torres_Cereceda
Atacama y Coquimbo,Partido Socialista,PS,"('Eliodoro', 'Segundo', 'Domínguez', 'Domínguez')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eliodoro_Segundo_Domínguez_Domínguez
Aconcagua y Valparaíso,Partido Conservador,PCon,"('Manuel', 'Muñoz', 'Cornejo')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Muñoz_Cornejo
Aconcagua y Valparaíso,Partido Liberal,PL,"('Enrique', 'Bravo', 'Ortiz')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Enrique_Bravo_Ortiz
Aconcagua y Valparaíso,Frente Popular,PR,"('Celso', 'Aníbal', 'Cruzat', 'Ortega')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Celso_Aníbal_Cruzat_Ortega
Aconcagua y Valparaíso,Frente Popular,PR,"('Eleodoro', 'Enrique', 'Guzmán', 'Figueroa')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eleodoro_Enrique_Guzmán_Figueroa
Aconcagua y Valparaíso,Partido Socialista,PS,"('Hugo', 'Grove', 'Vallejo')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Hugo_Grove_Vallejo
Santiago,Partido Conservador,PCon,"('Eduardo', 'Cruz-Coke', 'Lassabe')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eduardo_Cruz_Coke_Lassabe
Santiago,Partido Conservador,PCon,"('Horacio', 'Walker', 'Larraín')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Horacio_Walker_Larraín
Santiago,Frente Popular,PPN,"('Carlos', 'Contreras', 'Labarca')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Contreras_Labarca
Santiago,Frente Popular,PR,"('Gustavo', 'Jirón', 'Latapiat')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gustavo_Jirón_Latapiat
Santiago,Partido Socialista,PS,"('Marmaduke', 'Grove', 'Vallejo')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marmaduke_Grove_Vallejo
O'Higgins y Colchagua,Partido Conservador,PCon,"('Héctor', 'Rodríguez', 'de la Sotta')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Héctor_Rodríguez_de_la_Sotta
O'Higgins y Colchagua,Partido Conservador,PCon,"('Manuel', 'Ossa', 'Covarrubias')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Ossa_Covarrubias
