Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Copiapó,,,"('Nicolás', 'Larraín', 'Aguirre')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Nicolás_Larraín_Aguirre
Vallenar,,,"('Rafael', 'Bilbao', 'Beyner')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rafael_Bilbao_Beyner
Vallenar,,,"('Pedro', 'Chacón', 'Morales')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Chacón_Morales
La Serena,,,"('Mariano', 'Ariztía', 'Astaburuaga')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mariano_De_Ariztía_Astaburuaga
La Serena,,,"('Juan', 'Buenaventura', 'Marín', 'Recabarren')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Buenaventura_(Ventura)_Marín_Recabarren
La Serena,,,"('Pedro', 'Antonio', 'Palazuelos', 'Astaburuaga')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Antonio_Palazuelos_Astaburuaga
Illapel,,,"('José', 'Domingo', 'Amunátegui', 'Muñoz')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Domingo_Amunátegui_Muñoz
Illapel,,,"('José', 'Fermín', 'del Solar', 'Marín')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Fermín_Del_Solar_Marín
Petorca,,,"('Juan', 'Bautista', 'García')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Bautista_García
Petorca,,,"('Francisco', 'Arriagada', 'Argomedo')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Arriagada_Argomedo
La Ligua,,,"('Miguel', 'del Fierro', 'Illanes')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Miguel_Del_Fierro_Illanes
La Ligua,,,"('Estanislao', 'Segundo', 'Portales', 'Larraín')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Estanislao_Segundo_Portales_Larraín
Los Andes,,,"('Juan', 'Francisco', 'Meneses', 'Echanes')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Francisco_Meneses_Echanes
Los Andes,,,"('Santiago', 'Mardones', 'Valenzuela')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Santiago_Mardones_Valenzuela
Aconcagua,,,"('Francisco', 'Osorio')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Osorio
Aconcagua,,,"('Santiago', 'Segundo', 'Pérez', 'Larraín')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Santiago_Segundo_Pérez_Larraín
Aconcagua,,,"('Pedro', 'Félix', 'Vicuña', 'Aguirre')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Félix_Vicuña_Aguirre
Quillota,,,"('Melchor', 'José', 'de Ramos', 'Font')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Melchor_José_De_Ramos_Font
Quillota,,,"('Pedro', 'Nolasco', 'Mena', 'Ramírez-Rivilla')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Nolasco_Mena_y_Ramírez_Rivilla
Valparaíso,,,"('Pedro', 'A.', 'Pozo')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_A._Pozo
Valparaíso,,,"('Mariano', 'Elías', 'Sánchez', 'Bravo de Naveda')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mariano_Elías_Sánchez_Bravo_de_Naveda
Casablanca,,,"('Pedro', 'Ovalle', 'Landa')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Ovalle_y_Landa
Casablanca,,,"('Ramón', 'Cisternas', 'Martínez')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ramón_Cisternas_Martínez
Santiago,,,"('José', 'Antonio', 'Pérez-Cotapos', 'Aldunate')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Antonio_Pérez_Cotapos_Aldunate
Santiago,,,"('Martín', 'de Orjera')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Martín_De_Orjera
Santiago,,,"('Melchor', 'de Santiago-Concha', 'Cerda')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Melchor_De_Santiago_Concha_y_Cerda
Santiago,,,"('Pedro', 'J.', 'Fernández', 'Recio')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_J._Fernández_Recio
Santiago,,,"('José', 'Antonio', 'Argomedo', 'González')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Antonio_Argomedo_González
Santiago,,,"('Bruno', 'Larraín', 'Aguirre')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Bruno_Larraín_Aguirre
Santiago,,,"('José', 'Santiago', 'Sánchez', 'Alfaro')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Santiago_Sánchez_Alfaro
Santiago,,,"('Domingo', 'Meneses')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Domingo_Meneses
Santiago,,,"('José', 'Santiago', 'Muñoz', 'Bezanilla')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Santiago_Muñoz_Bezanilla
Melipilla,,,"('Pedro', 'Caballero')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Caballero
Melipilla,,,"('Luis', 'Bartolomé', 'Tollo', 'Quintana')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Bartolomé_Tollo_Quintana
Rancagua,,,"('Manuel', 'Hurtado')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Hurtado
Rancagua,,,"('Rafael', 'Correa de Saa', 'Lazón')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rafael_Correa_de_Saa_Lazón
Rancagua,,,"('Javier', 'Ovalle', 'Errázuriz')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Javier_Ovalle_Errázuriz
San Fernando,,,"('Fermín', 'Fuentes', 'Ramírez')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fermín_Fuentes_Ramírez
San Fernando,,,"('José', 'Tomás', 'Argomedo', 'González')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Tomás_Argomedo_González
San Fernando,,,"('Pedro', 'Francisco', 'Lira', 'Argomedo')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Francisco_Lira_Argomedo
San Fernando,,,"('Juan', 'de Dios', 'Valenzuela', 'Latorre')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_de_Dios_Valenzuela_Latorre
San Fernando,,,"('José', 'Toribio', 'Mujica', 'Godoy')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Toribio_Mujica_Godoy
San Fernando,,,"('Francisco', 'de Paula', 'Fernández', 'Díaz')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_de_Paula_Fernández_Díaz
Curicó,,,"('Agustín', 'Aldea')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Agustín_De_Aldea
Curicó,,,"('Juan', 'de Dios', 'Pérez de Valenzuela', 'Torrealba')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_de_Dios_Pérez_de_Valenzuela_Torrealba
Talca,,,"('José', 'Manuel', 'Barros', 'Fernández')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Manuel_Barros_Fernández
Talca,,,"('Agustín', 'Vial', 'Santelices')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Agustín_Vial_Santelices
Talca,,,"('José', 'Santiago', 'Montt', 'Albano')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Santiago_Montt_Albano
Linares,,,"('José', 'María', 'de Rozas', 'Lima', 'Melo')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_María_De_Rozas_Lima_y_Melo
Linares,,,"('Raimundo', 'Prado')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Raimundo_Prado
Linares,,,"('Juan', 'Agustín', 'Lavín')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Agustín_Lavín
Linares,,,"('Juan', 'Albano', 'Pereira', 'de la Cruz')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Albano_Pereira_de_la_Cruz
Parral,,,"('José', 'María', 'Urrutia', 'Ibáñez')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_María_Urrutia_Ibáñez
Parral,,,"('Julián', 'Vallejo')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Julián_Vallejo
Parral,,,"('Benjamín', 'Viel', 'Gometz')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Benjamin_Viel_Gometz
Cauquenes,,,"('José', 'Joaquín', 'Echeverría', 'Larraín')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Joaquín_Echeverría_y_Larraín
