Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
D1,Partido Humanista,PH,"('Carlos', 'Ojeda', 'Murillo')",889,1.32,,,
D1,Partido Humanista,PH,"('Loreto', 'del Campo', 'Parada')",450,0.67,,,
D1,Unión por Chile,UDI,"('Julio', 'Urquhart', 'Matheu')",2096,3.11,,,
D1,Unión por Chile,RN,"('Carlos', 'Valcarce', 'Medina')",14275,21.16,,,
D1,Concertación de Partidos por la Democracia,PPD,"('Salvador', 'Urrutia', 'Cárdenas')",14358,21.28,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Salvador_Urrutia_Cárdenas
D1,Concertación de Partidos por la Democracia,PRSD,"('Luis', 'Gutiérrez', 'Torres')",10922,16.19,,,
D1,La Izquierda,PC,"('Paul', 'González', 'Carrasco')",4720,6.99,,,
D1,Chile 2000,IND,"('Hernán', 'Sudy', 'Pinto')",1812,2.69,,,
D1,Chile 2000,UCCP,"('Hugo', 'Le Blanc', 'Díaz')",276,0.41,,,
D1,Candidatura Independiente,IND,"('Rosa', 'Orfilia', 'González', 'Román')",17680,26.2,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rosa_González_Román
D1,Válidamente emitidos,,(),67478,100.0,,,
D2,Partido Humanista,PH,"('Marisol', 'Manríquez', 'Chala')",356,0.46,,,
D2,Partido Humanista,PH,"('María', 'Eugenia', 'Álvarez', 'Michea')",576,0.75,,,
D2,Unión por Chile,RN,"('Ramón', 'Pérez', 'Opazo')",21013,27.18,,,
D2,Unión por Chile,UDI,"('Juan', 'Lima', 'Montero')",2160,2.79,,,
D2,Concertación de Partidos por la Democracia,PPD,"('Jorge', 'Soria', 'Macchiavello')",21184,27.41,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Soria_Macchiavello
D2,Concertación de Partidos por la Democracia,PDC,"('Antonella', 'Sciaraffia', 'Estrada')",28580,36.97,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Antonella_Sciaraffia_Estrada
D2,La Izquierda,PC,"('Joaquín', 'Luis', 'Ramírez', 'Salgado')",3428,4.43,,,
D2,Válidamente emitidos,,(),77297,100.0,,,
D3,Partido Humanista,PH,"('Chaillot', 'del Canto', 'Harboe')",714,1.1,,,
D3,Partido Humanista,PH,"('Óscar', 'Antonio', 'Onell', 'Lucero')",909,1.41,,,
D3,Unión por Chile,UDI,"('Nalto', 'Espinoza', 'Hurtado')",13283,20.53,,,
D3,Unión por Chile,RN,"('Juan', 'Luis', 'Meneses', 'Zavala')",5315,8.22,,,
D3,Concertación de Partidos por la Democracia,PDC,"('Waldo', 'Mora', 'Longa')",13812,21.35,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Waldo_Mora_Longa
D3,Concertación de Partidos por la Democracia,PS,"('Fanny', 'Pollarolo', 'Villa')",26254,40.58,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fanny_Pollarolo_Villa
D3,La Izquierda,PC,"('Alicia', 'Torres', 'Peralta')",4409,6.81,,,
D3,Válidamente emitidos,,(),64696,100.0,,,
D4,Partido Humanista,PH,"('Pedro', 'Zlatar', 'Becerra')",2157,2.15,,,
D4,Unión por Chile,RN,"('Constantino', 'Zafiropulos', 'Bossy')",11130,11.07,,,
D4,Unión por Chile,UDI,"('Manuel', 'Rojas', 'Molina')",21412,21.3,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Rojas_Molina
D4,Concertación de Partidos por la Democracia,PDC,"('Rubén', 'Gajardo', 'Chacón')",27348,27.21,,,
D4,Concertación de Partidos por la Democracia,PS,"('Felipe', 'Valenzuela', 'Herrera')",31556,31.4,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Felipe_Valenzuela_Herrera
D4,La Izquierda,PC,"('Elivia', 'Silva', 'Iriarte')",6032,6.0,,,
D4,La Izquierda,IND,"('Mario', 'Agüero', 'Palacios')",872,0.87,,,
D4,Válidamente emitidos,,(),100507,100.0,,,
D5,Partido Humanista,PH,"('Carlos', 'Toro', 'Valladares')",3954,8.07,,,
D5,Unión por Chile,UDI,"('Juan', 'Carlos', 'Morales', 'Mendoza')",3653,7.46,,,
D5,Unión por Chile,RN,"('Carlos', 'Vilches', 'Guzmán')",10502,21.44,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Alfredo_Vilches_Guzmán
D5,Concertación de Partidos por la Democracia,PPD,"('Antonio', 'Leal', 'Labrín')",13242,27.04,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Antonio_Leal_Labrín
D5,Concertación de Partidos por la Democracia,PRSD,"('Sergio', 'Carrasco', 'Gouet')",11455,23.39,,,
D5,La Izquierda,NAP,"('Giuliano', 'López', 'Rojas')",1161,2.37,,,
D5,La Izquierda,PC,"('Gastón', 'Quezada', 'Fernández')",5009,10.23,,,
D5,Válidamente emitidos,,(),48976,100.0,,,
D6,Partido Humanista,PH,"('Lorena', 'Ortega', 'Wanders')",426,1.09,,,
D6,Unión por Chile,RN,"('Baldo', 'Prokurica', 'Prokurica')",14753,37.89,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Baldo_Prokurica_Prokurica
D6,Unión por Chile,UDI,"('Guillermo', 'Cofre', 'Calderon')",522,1.34,,,
D6,Concertación de Partidos por la Democracia,PDC,"('Jaime', 'Mulet', 'Martínez')",12012,30.85,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Mulet_Martínez
D6,Concertación de Partidos por la Democracia,PS,"('Armando', 'Arancibia', 'Calderón')",9355,24.03,,,
D6,La Izquierda,NAP,"('Consuelo', 'Cruz', 'Vega')",354,0.91,,,
D6,La Izquierda,PC,"('Jorge', 'Adaos', 'Ramírez')",1512,3.88,,,
D6,Válidamente emitidos,,(),38934,100.0,,,
D7,Partido Humanista,PH,"('Fernando', 'Sepúlveda', 'Rosas')",1696,2.32,,,
D7,Unión por Chile,UDI,"('Roberto', 'Ferés', 'Rebolledo')",10977,15.02,,,
D7,Unión por Chile,RN,"('Mario', 'Bertolino', 'Rendic')",15921,21.78,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mario_Bertolino_Rendic
D7,Concertación de Partidos por la Democracia,PDC,"('Joaquín', 'Palma', 'Irarrázaval')",18642,25.5,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Joaquín_Salvador_José_María_Antonio_Palma_Irarrázaval
D7,Concertación de Partidos por la Democracia,PRSD,"('Ernesto', 'Velasco', 'Rodríguez')",18331,25.08,,,
D7,La Izquierda,NAP,"('Juan', 'Cortés', 'Vega')",1093,1.5,,,
D7,La Izquierda,PC,"('Luis', 'Aguilera', 'González')",6443,8.81,,,
D7,Válidamente emitidos,,(),73103,100.0,,,
D8,Partido Humanista,PH,"('Gladys', 'Mendoza', 'Jaque')",1536,1.78,,,
D8,Unión por Chile,RN,"('Jorge', 'Morales', 'Adriasola')",13053,15.1,,,
D8,Unión por Chile,UDI,"('Flavio', 'Ángelini', 'Macrobio')",12761,14.77,,,
D8,Concertación de Partidos por la Democracia,PDC,"('Patricio', 'Walker', 'Prieto')",30246,35.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Patricio_Walker_Prieto
