Circunscripción,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Tarapacá,Unión por Chile,RN,"('Julio', 'Lagos', 'Cosgrove')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Julio_Lagos_Cosgrove
Tarapacá,Concertación de Partidos por la Democracia,PPD,"('Sergio', 'Bitar', 'Chacra')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Julio_Lagos_Cosgrove
Antofagasta,Unión por Chile,UDI,"('Patricio', 'Valdivia', 'Guerra')",14818,8.88,,,
Antofagasta,Unión por Chile,RN,"('Carlos', 'Cantero', 'Ojeda')",40007,23.97,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Cantero_Ojeda
Antofagasta,Concertación de Partidos por la Democracia,PPD,"('Víctor', 'Manuel', 'Rebolledo', 'González')",43482,26.06,,,
Antofagasta,Concertación de Partidos por la Democracia,PDC,"('Carmen', 'Frei', 'Ruiz-Tagle')",58492,35.05,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carmen_Frei_Ruiz-Tagle
Antofagasta,La Izquierda,PC,"('Pedro', 'Cisternas', 'Flores')",10079,6.04,,,
Antofagasta,Válidamente emitidos,,(),166878,100.0,,,
Atacama,Unión por Chile,RN,"('Ignacio', 'Pérez', 'Walker')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ignacio_Pérez_Walker
Atacama,Concertación de Partidos por la Democracia,PS,"('Ricardo', 'Núñez', 'Muñoz')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ricardo_Núñez_Muñoz
Coquimbo,Partido Humanista,PH,"('Gonzalo', 'García-Huidobro', 'Severin')",8439,3.91,,,
Coquimbo,Unión por Chile,IND,"('Evelyn', 'Matthei', 'Fornet')",50281,23.32,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Evelyn_Matthei_Fornet
Coquimbo,Unión por Chile,RN,"('Eugenio', 'Munizaga', 'Rodríguez')",33612,15.59,,,
Coquimbo,Concertación de Partidos por la Democracia,PPD,"('Álvaro', 'Erich', 'Schnake', 'Silva')",40728,18.89,,,
Coquimbo,Concertación de Partidos por la Democracia,PDC,"('Jorge', 'Pizarro', 'Soto')",82598,38.3,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Pizarro_Soto
Coquimbo,Válidamente emitidos,,(),215658,100.0,,,
Valparaíso Cordillera,Unión por Chile,RN,"('Sergio', 'Romero', 'Pizarro')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Romero_Pizarro
Valparaíso Cordillera,Concertación de Partidos por la Democracia,PS,"('Carlos', 'Ominami', 'Pascual')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Ominami_Pascual
Valparaíso Costa,Unión por Chile,UDI,"('Beltrán', 'Urenda', 'Zegers')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Beltrán_Urenda_Zegers
Valparaíso Costa,Concertación de Partidos por la Democracia,PDC,"('Juan', 'Patricio', 'José', 'Hamilton', 'Depassier')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Patricio_José_Hamilton_Depassier
Santiago Poniente,Partido Humanista,PH,"('Pía', 'Figueroa', 'Edwards')",14003,1.26,,,
