Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url_x,url_y,url
12,Frente Amplio,RD,"('Miguel', 'Crispi', 'Serrano')",25569.0,7.33,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Miguel_Ernesto_Crispi_Serrano,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Miguel_Ernesto_Crispi_Serrano,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Miguel_Ernesto_Crispi_Serrano
12,La Fuerza de la Mayoría,PC,"('Camila', 'Vallejo', 'Dowling')",47807.0,13.71,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Camila_Antonia_Amaranta_Vallejo_Dowling,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Camila_Antonia_Amaranta_Vallejo_Dowling,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Camila_Antonia_Amaranta_Vallejo_Dowling
12,La Fuerza de la Mayoría,PC,"('Amaro', 'Labra', 'Sepulveda')",6316.0,1.81,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Amaro_Jamil_Jesús_Labra_Sepúlveda,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Amaro_Jamil_Jesús_Labra_Sepúlveda,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Amaro_Jamil_Jesús_Labra_Sepúlveda
13,Chile Vamos,RN,"('Eduardo', 'Duran', 'Salinas')",19744.0,8.06,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eduardo_Alfredo_Durán_Salinas,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eduardo_Alfredo_Durán_Salinas,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eduardo_Alfredo_Durán_Salinas
13,Chile Vamos,UDI,"('Cristhian', 'Moreira', 'Barros')",18125.0,7.4,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Cristhian_Patricio_Moreira_Barros,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Cristhian_Patricio_Moreira_Barros,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Cristhian_Patricio_Moreira_Barros
13,Frente Amplio,RD,"('Gael', 'Fernanda', 'Yeomans', 'Araya')",13721.0,5.6,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gael_Fernanda_Yeomans_Araya,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gael_Fernanda_Yeomans_Araya,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gael_Fernanda_Yeomans_Araya
13,La Fuerza de la Mayoría,PC,"('Guillermo', 'Teillier', 'del Valle')",28798.0,11.75,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Guillermo_León_Teillier_del_Valle,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Guillermo_León_Teillier_del_Valle,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Guillermo_León_Teillier_del_Valle
13,La Fuerza de la Mayoría,PPD,"('Tucapel', 'Francisco', 'Jimenez', 'Fuentes')",22551.0,9.2,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Tucapel_Francisco_Jiménez_Fuentes,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Tucapel_Francisco_Jiménez_Fuentes,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Tucapel_Francisco_Jiménez_Fuentes
14,Chile Vamos,UDI,"('Jaime', 'Bellolio', 'Avaria')",32044.0,10.56,*,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Andrés_Bellolio_Avaria,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Andrés_Bellolio_Avaria,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Andrés_Bellolio_Avaria
14,Chile Vamos,UDI,"('Juan', 'Antonio', 'Coloma', 'Alamos')",35779.0,11.79,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Antonio_Coloma_Álamos,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Antonio_Coloma_Álamos,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Antonio_Coloma_Álamos
14,Chile Vamos,UDI,"('Nora', 'Cuevas', 'Contreras')",0.0,0.0,,*,,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Nora_Cuevas_Contreras
14,Frente Amplio,RD,"('Renato', 'Garin', 'Gonzalez')",11573.0,3.82,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Renato_Fabrizio_Garín_González,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Renato_Fabrizio_Garín_González,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Renato_Fabrizio_Garín_González
14,Frente Amplio,RD,"('Marcela', 'Sandoval', 'Osorio')",0.0,0.0,,*,,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marcela_Paz_Alejandra_Sandoval_Osorio
14,La Fuerza de la Mayoría,PS,"('Raul', 'Leiva', 'Carvajal')",44774.0,14.76,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Raúl_Alfonso_Leiva_Carvajal,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Raúl_Alfonso_Leiva_Carvajal,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Raúl_Alfonso_Leiva_Carvajal
