Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Coquimbo,Confederación de la Democracia,PDC,"('Mario', 'Julio', 'Torres', 'Peralta')",11934,9.4,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mario_Julio_Torres_Peralta
Coquimbo,Confederación de la Democracia,PDC,"('Eduardo', 'Sepúlveda', 'Whittle')",13393,10.55,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eduardo_Sepúlveda_Whittle
Coquimbo,Confederación de la Democracia,PN,"('Francisco', 'Álvarez', 'Mery')",7259,5.71,,,
Coquimbo,Confederación de la Democracia,PIR,"('Orlando', 'Poblete', 'González')",4181,3.29,,,
Coquimbo,Confederación de la Democracia,VL-CODE,(),688,0.54,,,
Coquimbo,Confederación de la Democracia,PN,"('Juan', 'Jorquera', 'Niño de Zepeda')",369,0.29,,,
Coquimbo,Confederación de la Democracia,PDC,"('Marino', 'Penna', 'Miranda')",10843,8.54,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marino_Penna_Miranda
Coquimbo,Confederación de la Democracia,PN,"('Jorge', 'Morales', 'Adriasola')",9376,7.38,,,
Coquimbo,Unidad Popular,PR,"('Clemente', 'Fuentealba', 'Caamaño')",9555,7.52,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Clemente_Fuentealba_Caamaño
Coquimbo,Unidad Popular,PS,"('Alejandro', 'Jiliberto', 'Zepeda')",11819,9.31,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alejandro_Jiliberto_Zepeda
Coquimbo,Unidad Popular,PS,"('René', 'Nahmias', 'Albala')",9241,7.28,,,
Coquimbo,Unidad Popular,PC,"('Amanda', 'Elisa', 'Altamirano', 'Guerrero')",22933,18.06,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Amanda_Elisa_Altamirano_Guerrero
Coquimbo,Unidad Popular,API,"('Silvia', 'Víctoria', 'Araya', 'González')",12142,9.56,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Silvia_Victoria_Araya_González
Coquimbo,Unidad Popular,MAPU,"('Jorge', 'Vásquez', 'Matamala')",1380,1.08,,,
Coquimbo,Unidad Popular,IC,"('Lucía', 'Chirinos', 'Benavides')",875,0.69,,,
Coquimbo,Unidad Popular,VL-UP,(),996,0.78,,,
Coquimbo,Válidamente emitidos,,(),126984,97.63,,,
Coquimbo,Nulos,,(),1917,1.47,,,
Coquimbo,Blancos,,(),1164,0.89,,,
Coquimbo,Total,,(),130065,100.0,,,
Aconcagua,Confederación de la Democracia,PN,"('Jorge', 'Domingo', 'Godoy', 'Matte')",16538,23.14,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Domingo_Godoy_Matte
Aconcagua,Confederación de la Democracia,PDC,"('Eduardo', 'Antonio', 'Cerda', 'García')",16772,23.47,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eduardo_Antonio_Cerda_García
Aconcagua,Confederación de la Democracia,VL-CODE,(),601,0.84,,,
Aconcagua,Confederación de la Democracia,PDC,"('Félix', 'Ernesto', 'Iglesias', 'Cortés')",4948,6.92,,,
Aconcagua,Unidad Popular,VL-UP,(),588,0.82,,,
Aconcagua,Unidad Popular,PC,"('Raúl', 'Sánchez', 'Bañados')",17259,24.15,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Raúl_Sánchez_Bañados
Aconcagua,Unidad Popular,PS,"('Luis', 'Muñoz', 'González')",13012,18.21,,,
Aconcagua,Unidad Popular,API,"('Carlos', 'Mora', 'Hormazábal')",808,1.13,,,
Aconcagua,Unión Socialista Popular,USOPO,"('Orlando', 'Ríos', 'González')",701,0.98,,,
Aconcagua,Unión Socialista Popular,VL-USOPO,(),72,0.1,,,
Aconcagua,Unión Socialista Popular,USOPO,"('Edmundo', 'Tulcanaza', 'Navarro')",163,0.23,,,
Aconcagua,Válidamente emitidos,,(),71462,98.45,,,
Aconcagua,Nulos,,(),873,1.2,,,
Aconcagua,Blancos,,(),250,0.34,,,
Aconcagua,Total,,(),72585,100.0,,,
Valparaíso,Confederación de la Democracia,VL-CODE,(),4397,1.23,,,
Valparaíso,Confederación de la Democracia,PDC,"('Eduardo', 'Sepúlveda', 'Muñoz')",13492,3.77,,,
Valparaíso,Confederación de la Democracia,PDC,"('Gustavo', 'Cardemil', 'Alfaro')",20537,5.74,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gustavo_Cardemil_Alfaro
Valparaíso,Confederación de la Democracia,DR,"('Jorge', 'Ovalle', 'Quiroz')",5835,1.63,,,
Valparaíso,Confederación de la Democracia,PIR,"('Carlos', 'Soya', 'González')",3597,1.0,,,
Valparaíso,Confederación de la Democracia,PN,"('Aníbal', 'Juan', 'Esteban', 'Scarella', 'Calandroni')",26758,7.47,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Aníbal_Juan_Esteban_Scarella_Calandroni
Valparaíso,Confederación de la Democracia,PN,"('Gonzalo', 'Yuseff', 'Sotomayor')",24575,6.86,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gonzalo_Yuseff_Sotomayor
