Circunscripción,Lista/Pacto,Partido,Candidaturas,Votos,Porcentaje,Electos
Tarapacá,Concertación y Juntos Podemos por más Democracia,PS,1,45639,27.1,1
Tarapacá,Concertación y Juntos Podemos por más Democracia,PRSD,0,0,0.0,0
Tarapacá,Concertación y Juntos Podemos por más Democracia,PPD,0,0,0.0,0
Tarapacá,Concertación y Juntos Podemos por más Democracia,PDC,1,6919,4.11,0
Tarapacá,Coalición por el Cambio,UDI,1,56390,33.49,1
Tarapacá,Coalición por el Cambio,RN,1,12348,7.33,0
Tarapacá,Nueva Mayoría para Chile,PH,0,0,0.0,0
Tarapacá,Chile Limpio. Vote Feliz,MAS,0,0,0.0,0
Tarapacá,Chile Limpio. Vote Feliz,PRI,0,0,0.0,0
Tarapacá,Válidamente emitidos,,0,168383,100.0,0
Atacama,Concertación y Juntos Podemos por más Democracia,PPD,1,19693,18.69,0
Atacama,Concertación y Juntos Podemos por más Democracia,PRSD,0,0,0.0,0
Atacama,Concertación y Juntos Podemos por más Democracia,PS,1,28240,26.81,1
Atacama,Concertación y Juntos Podemos por más Democracia,PDC,0,0,0.0,0
Atacama,Coalición por el Cambio,RN,1,34793,33.03,1
Atacama,Coalición por el Cambio,UDI,1,1909,1.81,0
Atacama,Nueva Mayoría para Chile,PH,0,0,0.0,0
Atacama,Chile Limpio. Vote Feliz,PRI,2,20706,19.66,0
Atacama,Chile Limpio. Vote Feliz,MAS,0,0,0.0,0
Atacama,Válidamente emitidos,,0,105341,100.0,0
Valparaíso Cordillera,Concertación y Juntos Podemos por más Democracia,PS,0,0,0.0,0
Valparaíso Cordillera,Concertación y Juntos Podemos por más Democracia,PRSD,1,64529,17.57,0
Valparaíso Cordillera,Concertación y Juntos Podemos por más Democracia,PPD,0,0,0.0,0
Valparaíso Cordillera,Concertación y Juntos Podemos por más Democracia,PDC,1,77432,21.09,1
Valparaíso Cordillera,Coalición por el Cambio,RN,1,84556,23.03,1
Valparaíso Cordillera,Coalición por el Cambio,UDI,1,72112,19.64,0
Valparaíso Cordillera,Nueva Mayoría para Chile,PH,0,0,0.0,0
Valparaíso Cordillera,Chile Limpio. Vote Feliz,MAS,0,0,0.0,0
Valparaíso Cordillera,Chile Limpio. Vote Feliz,PRI,0,0,0.0,0
Valparaíso Cordillera,Candidatura Independiente,IND,1,4461,1.21,0
Valparaíso Cordillera,Válidamente emitidos,,0,367165,100.0,0
Valparaíso Costa,Concertación y Juntos Podemos por más Democracia,PS,0,0,0.0,0
Valparaíso Costa,Concertación y Juntos Podemos por más Democracia,PDC,1,23223,6.01,0
Valparaíso Costa,Concertación y Juntos Podemos por más Democracia,PPD,1,128287,33.19,1
Valparaíso Costa,Concertación y Juntos Podemos por más Democracia,PRSD,0,0,0.0,0
Valparaíso Costa,Coalición por el Cambio,UDI,1,107362,27.77,0
Valparaíso Costa,Coalición por el Cambio,RN,1,109603,28.35,1
Valparaíso Costa,Nueva Mayoría para Chile,PH,0,0,0.0,0
Valparaíso Costa,Chile Limpio. Vote Feliz,MAS,0,0,0.0,0
Valparaíso Costa,Chile Limpio. Vote Feliz,PRI,1,2901,0.75,0
Valparaíso Costa,Válidamente emitidos,,0,386567,100.0,0
Maule Norte,Concertación y Juntos Podemos por más Democracia,PDC,1,86936,31.37,1
Maule Norte,Concertación y Juntos Podemos por más Democracia,PPD,0,0,0.0,0
Maule Norte,Concertación y Juntos Podemos por más Democracia,PRSD,0,0,0.0,0
Maule Norte,Concertación y Juntos Podemos por más Democracia,PS,1,67957,24.52,0
Maule Norte,Coalición por el Cambio,UDI,1,97614,35.22,1
Maule Norte,Coalición por el Cambio,RN,1,17657,6.37,0
Maule Norte,Nueva Mayoría para Chile,PH,1,6986,2.52,0
Maule Norte,Chile Limpio. Vote Feliz,MAS,0,0,0.0,0
Maule Norte,Chile Limpio. Vote Feliz,PRI,0,0,0.0,0
Maule Norte,Válidamente emitidos,,0,277150,100.0,0
Maule Sur,Concertación y Juntos Podemos por más Democracia,PDC,1,49241,31.06,1
Maule Sur,Concertación y Juntos Podemos por más Democracia,PRSD,0,0,0.0,0
Maule Sur,Concertación y Juntos Podemos por más Democracia,PS,1,33181,20.93,0
Maule Sur,Concertación y Juntos Podemos por más Democracia,PPD,0,0,0.0,0
Maule Sur,Coalición por el Cambio,UDI,1,68354,43.12,1
Maule Sur,Coalición por el Cambio,RN,0,0,0.0,0
Maule Sur,Nueva Mayoría para Chile,PH,1,1583,1.0,0
Maule Sur,Chile Limpio. Vote Feliz,MAS,0,0,0.0,0
Maule Sur,Chile Limpio. Vote Feliz,PRI,0,0,0.0,0
Maule Sur,Válidamente emitidos,,0,158531,100.0,0
Araucanía Norte,Concertación y Juntos Podemos por más Democracia,PDC,1,7481,5.53,0
Araucanía Norte,Concertación y Juntos Podemos por más Democracia,PPD,1,40120,29.66,1
Araucanía Norte,Concertación y Juntos Podemos por más Democracia,PRSD,0,0,0.0,0
Araucanía Norte,Concertación y Juntos Podemos por más Democracia,PS,0,0,0.0,0
Araucanía Norte,Coalición por el Cambio,RN,1,52082,38.51,1
Araucanía Norte,Coalición por el Cambio,UDI,0,0,0.0,0
Araucanía Norte,Nueva Mayoría para Chile,PH,1,1611,1.19,0
Araucanía Norte,Chile Limpio. Vote Feliz,PRI,0,0,0.0,0
Araucanía Norte,Chile Limpio. Vote Feliz,MAS,0,0,0.0,0
Araucanía Norte,Válidamente emitidos,,0,135249,100.0,0
Araucanía Sur,Concertación y Juntos Podemos por más Democracia,PS,0,0,0.0,0
Araucanía Sur,Concertación y Juntos Podemos por más Democracia,PRSD,0,0,0.0,0
Araucanía Sur,Concertación y Juntos Podemos por más Democracia,PDC,1,51577,20.15,0
