Distrito,Lista/Pacto,Candidaturas,Votos,Porcentaje,Electos
D21,Chile Limpio. Vote Feliz,1,3547,1.99,0
D21,Válidamente emitidos,0,177839,100.0,0
D22,Concertación y Juntos Podemos por más Democracia,2,51078,46.95,1
D22,Coalición por el Cambio,2,48645,44.72,1
D22,Nueva Mayoría para Chile,2,6635,6.1,0
D22,Chile Limpio. Vote Feliz,1,2428,2.23,0
D22,Válidamente emitidos,0,108786,100.0,0
D23,Concertación y Juntos Podemos por más Democracia,2,49814,23.1,0
D23,Coalición por el Cambio,2,137756,63.88,2
D23,Nueva Mayoría para Chile,2,4206,1.95,0
D23,Chile Limpio. Vote Feliz,2,2712,1.26,0
D23,Candidatura Independiente,1,21155,9.81,0
D23,Válidamente emitidos,0,215643,100.0,0
D24,Concertación y Juntos Podemos por más Democracia,2,60124,44.44,1
D24,Coalición por el Cambio,2,63993,47.3,1
D24,Nueva Mayoría para Chile,1,5021,3.71,0
D24,Chile Limpio. Vote Feliz,2,6165,4.56,0
D24,Válidamente emitidos,0,135303,100.0,0
D25,Concertación y Juntos Podemos por más Democracia,2,73670,51.83,1
D25,Coalición por el Cambio,2,54781,38.54,1
D25,Nueva Mayoría para Chile,2,7389,5.2,0
D25,Chile Limpio. Vote Feliz,2,6306,4.44,0
D25,Válidamente emitidos,0,142146,100.0,0
D26,Concertación y Juntos Podemos por más Democracia,2,77628,55.02,1
D26,Coalición por el Cambio,2,57313,40.62,1
D26,Nueva Mayoría para Chile,2,2929,2.08,0
D26,Chile Limpio. Vote Feliz,2,3233,2.29,0
D26,Válidamente emitidos,0,141103,100.0,0
D27,Concertación y Juntos Podemos por más Democracia,2,73496,49.07,1
D27,Coalición por el Cambio,2,66888,44.66,1
D27,Nueva Mayoría para Chile,2,4216,2.81,0
D27,Chile Limpio. Vote Feliz,2,5176,3.46,0
D27,Válidamente emitidos,0,149776,100.0,0
D28,Concertación y Juntos Podemos por más Democracia,2,85044,58.13,1
D28,Coalición por el Cambio,2,54470,37.23,1
D28,Nueva Mayoría para Chile,0,0,0.0,0
D28,Chile Limpio. Vote Feliz,2,6780,4.63,0
D28,Válidamente emitidos,0,146294,100.0,0
D29,Concertación y Juntos Podemos por más Democracia,2,81213,44.0,1
D29,Coalición por el Cambio,2,87798,47.56,1
D29,Nueva Mayoría para Chile,1,6161,3.34,0
D29,Chile Limpio. Vote Feliz,2,9415,5.1,0
D29,Válidamente emitidos,0,184587,100.0,0
D30,Concertación y Juntos Podemos por más Democracia,2,51883,34.09,1
D30,Coalición por el Cambio,2,65752,43.2,1
D30,Nueva Mayoría para Chile,1,5052,3.32,0
D30,Chile Limpio. Vote Feliz,2,4103,2.7,0
D30,Candidatura Independiente,1,21079,13.85,0
D30,Candidatura Independiente,1,4332,2.85,0
D30,Válidamente emitidos,0,152201,100.0,0
D31,Concertación y Juntos Podemos por más Democracia,2,69605,42.52,1
D31,Coalición por el Cambio,2,84274,51.48,1
D31,Nueva Mayoría para Chile,1,4306,2.63,0
D31,Chile Limpio. Vote Feliz,2,5523,3.37,0
D31,Válidamente emitidos,0,163708,100.0,0
D32,Concertación y Juntos Podemos por más Democracia,2,41247,45.68,1
D32,Coalición por el Cambio,2,38344,42.46,1
D32,Nueva Mayoría para Chile,2,10707,11.86,0
D32,Chile Limpio. Vote Feliz,0,0,0.0,0
D32,Válidamente emitidos,0,90298,100.0,0
D33,Concertación y Juntos Podemos por más Democracia,2,60346,51.45,1
D33,Coalición por el Cambio,2,43225,36.85,1
D33,Nueva Mayoría para Chile,2,8904,7.59,0
D33,Chile Limpio. Vote Feliz,1,4814,4.1,0
D33,Válidamente emitidos,0,117289,100.0,0
D34,Concertación y Juntos Podemos por más Democracia,2,18546,19.75,0
D34,Coalición por el Cambio,2,28206,30.04,1
D34,Nueva Mayoría para Chile,1,1038,1.11,0
D34,Chile Limpio. Vote Feliz,2,46104,49.1,1
D34,Válidamente emitidos,0,93894,100.0,0
D35,Concertación y Juntos Podemos por más Democracia,2,34311,43.97,1
D35,Coalición por el Cambio,2,39368,50.45,1
D35,Nueva Mayoría para Chile,1,1275,1.63,0
