Distrito,Lista/Pacto,Partido,Candidaturas,Votos,Porcentaje,Electos
15,Válidamente emitidos,,0,85760,100.0,0
16,Concertación y Juntos Podemos por más Democracia,PS,1,38649,23.5,0
16,Concertación y Juntos Podemos por más Democracia,PDC,1,48333,29.39,1
16,Coalición por el Cambio,RN,1,13829,8.41,0
16,Coalición por el Cambio,UDI,1,58306,35.45,1
16,Nueva Mayoría para Chile,PH,1,5358,3.26,0
16,Válidamente emitidos,,0,164475,100.0,0
17,Concertación y Juntos Podemos por más Democracia,PDC,1,19630,13.97,0
17,Concertación y Juntos Podemos por más Democracia,PPD,1,45798,32.6,1
17,Coalición por el Cambio,RN,1,46572,33.15,1
17,Coalición por el Cambio,UDI,1,15317,10.9,0
17,Nueva Mayoría para Chile,PH,1,4811,3.42,0
17,Chile Limpio. Vote Feliz,MAS,1,5663,4.03,0
17,Chile Limpio. Vote Feliz,PRI,1,2678,1.91,0
17,Válidamente emitidos,,0,140469,100.0,0
18,Concertación y Juntos Podemos por más Democracia,PPD,1,51669,34.35,1
18,Coalición por el Cambio,UDI,1,6951,4.62,0
18,Coalición por el Cambio,RN,1,40782,27.11,1
18,Nueva Mayoría para Chile,PH,1,2492,1.66,0
18,Chile Limpio. Vote Feliz,MAS,1,6577,4.37,0
18,Chile Limpio. Vote Feliz,PRI,1,16951,11.27,0
18,Candidatura Independiente,IND,1,4922,3.27,0
18,Válidamente emitidos,,0,150425,100.0,0
19,Concertación y Juntos Podemos por más Democracia,PS,1,13329,12.99,0
19,Concertación y Juntos Podemos por más Democracia,PPD,1,39126,38.12,1
19,Coalición por el Cambio,UDI,1,38297,37.31,1
19,Nueva Mayoría para Chile,PH,1,1775,1.73,0
19,Chile Limpio. Vote Feliz,MAS,1,1177,1.15,0
19,Válidamente emitidos,,0,102642,100.0,0
20,Concertación y Juntos Podemos por más Democracia,PPD,1,49981,20.7,1
20,Concertación y Juntos Podemos por más Democracia,PDC,1,24562,10.17,0
