Circunscripción,Lista/Pacto,Candidaturas,Votos,Porcentaje,Electos
Tarapacá,Concertación y Juntos Podemos por más Democracia,2,52558,31.21,1
Tarapacá,Coalición por el Cambio,2,68738,40.82,1
Tarapacá,Nueva Mayoría para Chile,0,0,0.0,0
Tarapacá,Chile Limpio. Vote Feliz,1,47087,27.96,0
Tarapacá,Válidamente emitidos,0,168383,100.0,0
Atacama,Concertación y Juntos Podemos por más Democracia,2,47933,45.5,1
Atacama,Coalición por el Cambio,2,36702,34.84,1
Atacama,Nueva Mayoría para Chile,0,0,0.0,0
Atacama,Chile Limpio. Vote Feliz,2,20706,19.66,0
Atacama,Válidamente emitidos,0,105341,100.0,0
Valparaíso Cordillera,Concertación y Juntos Podemos por más Democracia,2,141961,38.66,1
Valparaíso Cordillera,Coalición por el Cambio,2,156668,42.67,1
Valparaíso Cordillera,Nueva Mayoría para Chile,2,64075,17.45,0
Valparaíso Cordillera,Chile Limpio. Vote Feliz,0,0,0.0,0
Valparaíso Cordillera,Candidatura Independiente,1,4461,1.21,0
Valparaíso Cordillera,Válidamente emitidos,0,367165,100.0,0
Valparaíso Costa,Concertación y Juntos Podemos por más Democracia,2,151510,39.19,1
Valparaíso Costa,Coalición por el Cambio,2,216965,56.13,1
Valparaíso Costa,Nueva Mayoría para Chile,1,15191,3.93,0
Valparaíso Costa,Chile Limpio. Vote Feliz,1,2901,0.75,0
Valparaíso Costa,Válidamente emitidos,0,386567,100.0,0
Maule Norte,Concertación y Juntos Podemos por más Democracia,2,154893,55.89,1
Maule Norte,Coalición por el Cambio,2,115271,41.59,1
Maule Norte,Nueva Mayoría para Chile,1,6986,2.52,0
Maule Norte,Chile Limpio. Vote Feliz,0,0,0.0,0
Maule Norte,Válidamente emitidos,0,277150,100.0,0
Maule Sur,Concertación y Juntos Podemos por más Democracia,2,82422,51.99,1
Maule Sur,Coalición por el Cambio,2,74526,47.01,1
Maule Sur,Nueva Mayoría para Chile,1,1583,1.0,0
Maule Sur,Chile Limpio. Vote Feliz,0,0,0.0,0
Maule Sur,Válidamente emitidos,0,158531,100.0,0
Araucanía Norte,Concertación y Juntos Podemos por más Democracia,2,47601,35.2,1
Araucanía Norte,Coalición por el Cambio,2,59337,43.87,1
Araucanía Norte,Nueva Mayoría para Chile,1,1611,1.19,0
Araucanía Norte,Chile Limpio. Vote Feliz,2,26700,19.74,0
Araucanía Norte,Válidamente emitidos,0,135249,100.0,0
Araucanía Sur,Concertación y Juntos Podemos por más Democracia,2,125980,49.22,1
Araucanía Sur,Coalición por el Cambio,2,114136,44.6,1
Araucanía Sur,Nueva Mayoría para Chile,1,2794,1.09,0
Araucanía Sur,Chile Limpio. Vote Feliz,2,13019,5.09,0
Araucanía Sur,Válidamente emitidos,0,255929,100.0,0
Aysén,Concertación y Juntos Podemos por más Democracia,2,15289,37.14,1
Aysén,Coalición por el Cambio,1,14250,34.62,1
Aysén,Nueva Mayoría para Chile,0,0,0.0,0
Aysén,Chile Limpio. Vote Feliz,2,11628,28.25,0
Aysén,Válidamente emitidos,0,41167,100.0,0
