Circunscripción,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Tarapacá,Concertación y Juntos Podemos por más Democracia,PS,"('Fulvio', 'Rossi', 'Ciocca')",45639,27.1,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fulvio_Rossi_Ciocca
Tarapacá,Concertación y Juntos Podemos por más Democracia,PDC,"('Daniel', 'Espinoza', 'Cavieres')",6919,4.11,,,
Tarapacá,Coalición por el Cambio,UDI,"('Jaime', 'Orpis', 'Bouchon')",56390,33.49,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Orpis_Bouchon
Tarapacá,Coalición por el Cambio,RN,"('Julio', 'Lagos', 'Cosgrove')",12348,7.33,,,
Tarapacá,Chile Limpio. Vote Feliz,IND,"('Salvador', 'Urrutia', 'Cárdenas')",47087,27.96,,,
Tarapacá,Válidamente emitidos,,(),168383,100.0,,,
Antofagasta,Concertación y Juntos Podemos por más Democracia,PRSD,"('José', 'Antonio', 'Gómez', 'Urrutia')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Antonio_Argomedo_González
Antofagasta,Coalición por el Cambio,IND,"('Carlos', 'Cantero', 'Ojeda')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Cantero_Ojeda
Atacama,Concertación y Juntos Podemos por más Democracia,PS,"('Isabel', 'Allende', 'Bussi')",28240,26.81,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Isabel_Allende_Bussi
Atacama,Concertación y Juntos Podemos por más Democracia,PPD,"('Antonio', 'Leal', 'Labrín')",19693,18.69,,,
Atacama,Coalición por el Cambio,UDI,"('Cristián', 'Letelier', 'Aguilar')",1909,1.81,,,
Atacama,Coalición por el Cambio,RN,"('Baldo', 'Prokurica', 'Prokurica')",34793,33.03,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Baldo_Prokurica_Prokurica
Atacama,Chile Limpio. Vote Feliz,PRI,"('Jaime', 'Mulet', 'Martínez')",18580,17.64,,,
Atacama,Chile Limpio. Vote Feliz,PRI,"('Robinson', 'Peña', 'Moraleda')",2126,2.02,,,
Atacama,Válidamente emitidos,,(),105341,100.0,,,
Coquimbo,Concertación y Juntos Podemos por más Democracia,PDC,"('Jorge', 'Pizarro', 'Soto')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Pizarro_Soto
Coquimbo,Coalición por el Cambio,UDI,"('Evelyn', 'Matthei', 'Fornet')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Evelyn_Matthei_Fornet
Valparaíso Cordillera,Concertación y Juntos Podemos por más Democracia,PRSD,"('Nelson', 'Ávila', 'Contreras')",64529,17.57,,,
Valparaíso Cordillera,Concertación y Juntos Podemos por más Democracia,PDC,"('Ignacio', 'Walker', 'Prieto')",77432,21.09,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ignacio_Walker_Prieto
Valparaíso Cordillera,Coalición por el Cambio,RN,"('Lily', 'Pérez', 'San Martín')",84556,23.03,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Lily_Jovanka_Pérez_San_Martín
Valparaíso Cordillera,Coalición por el Cambio,UDI,"('Marcelo', 'Forni', 'Lobos')",72112,19.64,,,
Valparaíso Cordillera,Nueva Mayoría para Chile,IND,"('Carlos', 'Ominami', 'Pascual')",61567,16.77,,,
Valparaíso Cordillera,Nueva Mayoría para Chile,IND,"('Cristián', 'García-Huidobro', 'Lira')",2508,0.68,,,
Valparaíso Cordillera,Candidatura Independiente,IND,"('Lautaro', 'Velásquez', 'Carrasco')",4461,1.21,,,
Valparaíso Cordillera,Válidamente emitidos,,(),367165,100.0,,,
Valparaíso Costa,Concertación y Juntos Podemos por más Democracia,PPD,"('Ricardo', 'Lagos', 'Weber')",128287,33.19,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ricardo_Lagos_Weber
Valparaíso Costa,Concertación y Juntos Podemos por más Democracia,PDC,"('Hernán', 'Pinto', 'Miranda')",23223,6.01,,,
Valparaíso Costa,Coalición por el Cambio,RN,"('Francisco', 'Chahuán', 'Chahuán')",109603,28.35,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Chahuán_Chahuán
Valparaíso Costa,Coalición por el Cambio,UDI,"('Joaquín', 'Lavín', 'Infante')",107362,27.77,,,
Valparaíso Costa,Nueva Mayoría para Chile,IND,"('Juan', 'Guzmán', 'Tapia')",15191,3.93,,,
Valparaíso Costa,Chile Limpio. Vote Feliz,PRI,"('Raúl', 'Silva', 'Vergara')",2901,0.75,,,
Valparaíso Costa,Válidamente emitidos,,(),386567,100.0,,,
Santiago Poniente,Concertación y Juntos Podemos por más Democracia,PPD,"('Guido', 'Girardi', 'Lavín')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Guido_Girardi_Lavín
Santiago Poniente,Coalición por el Cambio,UDI,"('Jovino', 'Novoa', 'Vásquez')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jovino_Novoa_Vásquez
Santiago Oriente,Concertación y Juntos Podemos por más Democracia,PDC,"('Soledad', 'Alvear', 'Valenzuela')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Soledad_Alvear_Valenzuela
Santiago Oriente,Coalición por el Cambio,UDI,"('Pablo', 'Longueira', 'Montes')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pablo_Longueira_Montes
O'Higgins,Concertación y Juntos Podemos por más Democracia,PS,"('Juan', 'Pablo', 'Letelier', 'Morel')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Pablo_Letelier_Morel
O'Higgins,Coalición por el Cambio,UDI,"('Andrés', 'Chadwick', 'Piñera')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrés_Pío_Bernardino_Chadwick_Piñera
Maule Norte,Concertación y Juntos Podemos por más Democracia,PDC,"('Andrés', 'Zaldívar', 'Larraín')",86936,31.37,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrés_Zaldívar_Larraín
Maule Norte,Concertación y Juntos Podemos por más Democracia,PS,"('Jaime', 'Gazmuri', 'Mujica')",67957,24.52,,,
Maule Norte,Coalición por el Cambio,RN,"('Robert', 'Morrison', 'Munro')",17657,6.37,,,
Maule Norte,Coalición por el Cambio,UDI,"('Juan', 'Antonio', 'Coloma', 'Correa')",97614,35.22,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Antonio_Coloma_Correa
Maule Norte,Nueva Mayoría para Chile,PH,"('Mercedes', 'Bravo', 'Valenzuela')",6986,2.52,,,
Maule Norte,Válidamente emitidos,,(),277150,100.0,,,
Maule Sur,Concertación y Juntos Podemos por más Democracia,PS,"('Jaime', 'Naranjo', 'Ortiz')",33181,20.93,,,
Maule Sur,Concertación y Juntos Podemos por más Democracia,PDC,"('Ximena', 'Rincón', 'González')",49241,31.06,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ximena_Rincón_González
Maule Sur,Coalición por el Cambio,UDI,"('Hernán', 'Larraín', 'Fernández')",68354,43.12,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Hernán_Larraín_Fernández
Maule Sur,Coalición por el Cambio,IND,"('Juan', 'Ariztía', 'Correa')",6172,3.89,,,
Maule Sur,Nueva Mayoría para Chile,PH,"('Marilén', 'Cabrera', 'Olmos')",1583,1.0,,,
Maule Sur,Válidamente emitidos,,(),158531,100.0,,,
Bío-Bío Costa,Concertación y Juntos Podemos por más Democracia,PDC,"('Hosain', 'Sabag', 'Castillo')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Hosain_Sabag_Castillo
