Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,url
6,Chile Limpio. Vote Feliz,MAS,"['Fernando', 'Zamorano', 'Fernández']",5547,12.82,,
6,Candidatura Independiente,IND,"['Juan', 'Luis', 'Marré', 'Ramírez']",869,2.01,,
6,Candidatura Independiente,IND,"['Osvaldo', 'Delgado', 'Quevedo']",1827,4.22,,
6,Válidamente emitidos,,[],43260,100,,
7,Concertación y Juntos Podemos por más Democracia,PS,"['Marcelo', 'Díaz', 'Díaz']",32673,36.74,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marcelo_Eduardo_Díaz_Díaz
7,Concertación y Juntos Podemos por más Democracia,PDC,"['Francisco', 'Villalón', 'Laidlaw']",11896,13.38,,
7,Coalición por el Cambio,UDI,"['Sergio', 'Gahona', 'Salazar']",15614,17.56,,
7,Coalición por el Cambio,RN,"['Mario', 'Bertolino', 'Rendic']",18037,20.28,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mario_Bertolino_Rendic
7,Nueva Mayoría para Chile,IND,"['Karina', 'Espinoza', 'Rodríguez']",890,1,,
7,Nueva Mayoría para Chile,PH,"['Penélope', 'Alcayaga', 'Areyte']",1154,1.3,,
7,Chile Limpio. Vote Feliz,PRI,"['Yuri', 'Olivares', 'Olivares']",5295,5.95,,
7,Chile Limpio. Vote Feliz,IND,"['Percival', 'Madero', 'Santana']",3371,3.79,,
7,Válidamente emitidos,,[],88930,100,,
8,Concertación y Juntos Podemos por más Democracia,PDC,"['Matías', 'Walker', 'Prieto']",28948,27.21,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Matías_Walker_Prieto
8,Concertación y Juntos Podemos por más Democracia,PS,"['Daniel', 'Manouchehri', 'Lobos']",14753,13.87,,
8,Coalición por el Cambio,UDI,"['Susana', 'Verdugo', 'Baraona']",18936,17.8,,
8,Coalición por el Cambio,CH1,"['Adriana', 'Peñafiel', 'Villafañe']",4915,4.62,,
8,Nueva Mayoría para Chile,IND,"['Tirso', 'González', 'Alquinta']",905,0.85,,
8,Nueva Mayoría para Chile,IND,"['Miguel', 'Alvarado', 'Ramírez']",6794,6.39,,
8,Chile Limpio. Vote Feliz,IND,"['Ana', 'Victoria', 'Durruty', 'Corral']",2731,2.57,,
8,Chile Limpio. Vote Feliz,IND,"['Felipe', 'Alamo', 'Barrios']",2471,2.32,,
