Circunscripción,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,url
2,Nueva Mayoría,IND,"['Pedro', 'Araya', 'Guerrero']",29201,17.49,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Araya_Guerrero
2,Nueva Mayoría,IND,"['Alejandro', 'Guillier', 'Alvarez']",61911,37.08,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alejandro_René_Eleodoro_Guillier_Álvarez
4,Nueva Mayoría,PDC,"['Jorge', 'Pizarro', 'Soto']",78713,32.75,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Pizarro_Soto
4,Nueva Mayoría,PPD,"['Adriana', 'Muñoz', ""D'Albora""]",73562,30.61,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Adriana_Muñoz_D'Albora
7,Nueva Mayoría,PPD,"['Guido', 'Girardi', 'Lavin']",360949,30.31,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Guido_Girardi_Lavín
7,Alianza,RN,"['Andres', 'Allamand', 'Zavala']",240483,20.19,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrés_Allamand_Zavala
8,Nueva Mayoría,PS,"['Carlos', 'Montes', 'Cisternas']",279196,21.57,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Montes_Cisternas
8,Alianza,RN,"['Manuel', 'Jose', 'Ossandon', 'Irarrazabal']",317311,24.51,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_José_Ossandón_Irarrázabal
9,Nueva Mayoría,PS,"['Juan', 'Pablo', 'Letelier', 'Morel']",156230,46.03,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Pablo_Letelier_Morel
9,Alianza,UDI,"['Alejandro', 'Garcia-Huidobro', 'Sanfuentes']",69061,20.35,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alejandro_García-Huidobro_Sanfuentes
12,Nueva Mayoría,MAS,"['Alejandro', 'Navarro', 'Brain']",156372,33.92,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alejandro_Navarro_Brain
12,Alianza,UDI,"['Jacqueline', 'van Rysselberghe', 'Herrera']",128451,27.87,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jacqueline_Van_Rysselberghe_Herrera
13,Nueva Mayoría,PPD,"['Felipe', 'Harboe', 'Bascuñan']",121620,37.8,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Felipe_Harboe_Bascuñán
13,Alianza,UDI,"['Victor', 'Perez', 'Varela']",79298,24.65,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Víctor_Pérez_Varela
16,Nueva Mayoría,PS,"['Alfonso', 'de Urresti', 'Longton']",140358,46.86,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alfonso_Arturo_De_Urresti_Longton
16,Alianza,UDI,"['Ena', 'von Baer', 'Jahn']",68384,22.83,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ena_Anglein_von_Baer_Jahn
17,Nueva Mayoría,PS,"['Rabindranath', 'Quinteros', 'Lara']",270744,47.5,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rabindranath_Quinteros_Lara
17,Alianza,UDI,"['Ivan', 'Moreira', 'Barros']",108918,19.11,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Iván_Moreira_Barros
19,Nueva Mayoría,PDC,"['Carolina', 'Goic', 'Boroevic']",22714,38.19,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carolina_Goic_Boroevic
19,Candidatura Independiente,IND,"['Carlos', 'Bianchi', 'Chelech']",16330,27.46,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Antonio_Karim_Bianchi_Chelech
