Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
29,Alianza,RN,"('Leopoldo', 'Perez', 'Lahsen')",46500.0,23.57,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Leopoldo_Alfredo_Pérez_Lahsen
29,Nueva Mayoría,PS,"('Osvaldo', 'Andrade', 'Lara')",61191.0,31.01,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Osvaldo_Raúl_Andrade_Lara
30,Alianza,UDI,"('Jaime', 'Bellolio', 'Avaria')",32223.0,22.1,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Andrés_Bellolio_Avaria
30,Nueva Mayoría,PS,"('Leonardo', 'Soto', 'Ferrada')",36618.0,25.11,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Leonardo_Enrique_Soto_Ferrada
31,Alianza,UDI,"('Juan', 'Antonio', 'Coloma', 'Alamos')",31393.0,20.21,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Antonio_Coloma_Álamos
31,Nueva Mayoría,PS,"('Denise', 'Pascal', 'Allende')",66747.0,42.97,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Denise_Pascal_Allende
32,Alianza,UDI,"('Issa', 'Kort', 'Garriga')",18812.0,22.01,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Issa_Farid_Kort_Garriga
32,Nueva Mayoría,PS,"('Juan', 'Luis', 'Castro', 'Gonzalez')",35158.0,41.13,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Luis_Castro_González
33,Nueva Mayoría,PDC,"('Ricardo', 'Rincon', 'Gonzalez')",48114.0,45.17,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ricardo_Enrique_Rincón_González
33,Nueva Mayoría,PPD,"('Felipe', 'Letelier', 'Norambuena')",14809.0,13.9,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Felipe_Letelier_Norambuena
34,Alianza,UDI,"('Javier', 'Macaya', 'Danus')",21979.0,26.47,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Javier_Ignacio_Macaya_Danus
34,Candidatura Independiente,IND,"('Alejandra', 'Sepulveda', 'Orbenes')",35012.0,42.16,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alejandra_Sepúlveda_Orbenes
35,Alianza,UDI,"('Ramon', 'Barros', 'Montero')",20723.0,32.17,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ramón_José_Barros_Montero
35,Nueva Mayoría,PDC,"('Sergio', 'Espejo', 'Yaksic')",16869.0,26.19,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Espejo_Yaksic
36,Alianza,UDI,"('Celso', 'Morales', 'Muñoz')",30117.0,26.71,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Celso_René_Morales_Muñoz
36,Nueva Mayoría,PDC,"('Roberto', 'Leon', 'Ramirez')",48374.0,42.9,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Roberto_León_Ramírez
37,Alianza,RN,"('German', 'Verdugo', 'Soto')",22037.0,26.1,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Germán_Verdugo_Soto
