Circunscripción,Lista/Pacto,Partido,Candidaturas,Votos,Porcentaje,Electos
Antofagasta,Nueva Mayoría,PS,0,0,0.0,0
Antofagasta,Nueva Mayoría,PPD,0,0,0.0,0
Antofagasta,Nueva Mayoría,PDC,0,0,0.0,0
Antofagasta,Nueva Mayoría,PC,0,0,0.0,0
Antofagasta,Nueva Mayoría,MAS,0,0,0.0,0
Antofagasta,Partido Humanista,PH,1,3919,2.22,0
Antofagasta,Nueva Constitución para Chile,IGUALDAD,0,0,0.0,0
Antofagasta,Nueva Constitución para Chile,PEV,0,0,0.0,0
Antofagasta,Alianza,RN,0,0,0.0,0
Antofagasta,Alianza,UDI,1,39387,22.3,0
Antofagasta,Candidatura Independiente,IND,1,9931,5.62,0
Antofagasta,Candidatura Independiente,IND,1,18416,10.43,0
Antofagasta,Válidamente emitidos,,0,166983,94.55,0
Antofagasta,Nulos,,0,5031,2.85,0
Antofagasta,Blancos,,0,4595,2.6,0
Antofagasta,Total,,0,176609,100.0,0
Coquimbo,Nueva Mayoría,PDC,1,78713,30.29,1
Coquimbo,Nueva Mayoría,PPD,1,73562,28.31,1
Coquimbo,Nueva Mayoría,PS,0,0,0.0,0
Coquimbo,Nueva Mayoría,MAS,0,0,0.0,0
Coquimbo,Nueva Mayoría,PC,0,0,0.0,0
Coquimbo,Partido Humanista,PH,1,15574,5.99,0
Coquimbo,Nueva Constitución para Chile,IGUALDAD,0,0,0.0,0
Coquimbo,Nueva Constitución para Chile,PEV,0,0,0.0,0
Coquimbo,Alianza,RN,1,28403,10.93,0
Coquimbo,Alianza,UDI,1,44083,16.97,0
Coquimbo,Válidamente emitidos,,0,240335,92.49,0
Coquimbo,Nulos,,0,8475,3.26,0
Coquimbo,Blancos,,0,11027,4.24,0
Coquimbo,Total,,0,259837,100.0,0
Santiago Poniente,Nueva Mayoría,PS,0,0,0.0,0
Santiago Poniente,Nueva Mayoría,MAS,0,0,0.0,0
Santiago Poniente,Nueva Mayoría,PC,0,0,0.0,0
Santiago Poniente,Nueva Mayoría,PDC,1,222714,17.3,0
Santiago Poniente,Nueva Mayoría,PPD,1,360949,28.03,1
Santiago Poniente,Partido Humanista,PH,2,62854,4.88,0
Santiago Poniente,Nueva Constitución para Chile,PEV,0,0,0.0,0
Santiago Poniente,Nueva Constitución para Chile,IGUALDAD,1,40301,3.13,0
Santiago Poniente,Alianza,RN,1,240483,18.68,1
Santiago Poniente,Alianza,UDI,1,213516,16.58,0
Santiago Poniente,Válidamente emitidos,,0,1191054,92.5,0
Santiago Poniente,Nulos,,0,51283,3.98,0
Santiago Poniente,Blancos,,0,45314,3.52,0
Santiago Poniente,Total,,0,1287651,100.0,0
Santiago Oriente,Nueva Mayoría,PDC,1,262490,19.17,0
Santiago Oriente,Nueva Mayoría,PPD,0,0,0.0,0
Santiago Oriente,Nueva Mayoría,PS,1,279196,20.39,1
Santiago Oriente,Nueva Mayoría,MAS,0,0,0.0,0
Santiago Oriente,Nueva Mayoría,PC,0,0,0.0,0
Santiago Oriente,Partido Humanista,PH,2,37430,2.73,0
Santiago Oriente,Nueva Constitución para Chile,IGUALDAD,1,20661,1.51,0
Santiago Oriente,Nueva Constitución para Chile,PEV,0,0,0.0,0
Santiago Oriente,Alianza,RN,1,317311,23.17,1
Santiago Oriente,Alianza,UDI,0,0,0.0,0
Santiago Oriente,Válidamente emitidos,,0,1294450,94.53,0
Santiago Oriente,Nulos,,0,42567,3.11,0
Santiago Oriente,Blancos,,0,32389,2.37,0
Santiago Oriente,Total,,0,1369406,100.0,0
O'Higgins,Nueva Mayoría,MAS,0,0,0.0,0
O'Higgins,Nueva Mayoría,PC,0,0,0.0,0
O'Higgins,Nueva Mayoría,PDC,1,51873,14.15,0
O'Higgins,Nueva Mayoría,PPD,0,0,0.0,0
O'Higgins,Nueva Mayoría,PS,1,156230,42.62,1
O'Higgins,Partido Humanista,PH,1,17530,4.78,0
O'Higgins,Nueva Constitución para Chile,IGUALDAD,0,0,0.0,0
O'Higgins,Nueva Constitución para Chile,PEV,0,0,0.0,0
O'Higgins,Alianza,RN,1,44679,12.19,0
O'Higgins,Alianza,UDI,1,69061,18.84,1
O'Higgins,Válidamente emitidos,,0,339373,92.58,0
O'Higgins,Nulos,,0,12207,3.33,0
O'Higgins,Blancos,,0,15003,4.09,0
O'Higgins,Total,,0,366583,100.0,0
Bío-Bío Costa,Nueva Mayoría,MAS,1,156372,31.43,1
Bío-Bío Costa,Nueva Mayoría,PC,0,0,0.0,0
Bío-Bío Costa,Nueva Mayoría,PDC,0,0,0.0,0
Bío-Bío Costa,Nueva Mayoría,PPD,0,0,0.0,0
Bío-Bío Costa,Nueva Mayoría,PS,1,82114,16.5,0
Bío-Bío Costa,Partido Humanista,PH,1,15088,3.03,0
Bío-Bío Costa,Nueva Constitución para Chile,IGUALDAD,1,9730,1.96,0
Bío-Bío Costa,Nueva Constitución para Chile,PEV,1,9895,1.99,0
Bío-Bío Costa,Alianza,UDI,1,128451,25.82,1
Bío-Bío Costa,Alianza,RN,0,0,0.0,0
Bío-Bío Costa,Válidamente emitidos,,0,460949,92.65,0
Bío-Bío Costa,Nulos,,0,17289,3.48,0
Bío-Bío Costa,Blancos,,0,19274,3.87,0
Bío-Bío Costa,Total,,0,497512,100.0,0
Bío-Bío Cordillera,Nueva Mayoría,PPD,1,121620,34.13,1
Bío-Bío Cordillera,Nueva Mayoría,PS,0,0,0.0,0
Bío-Bío Cordillera,Nueva Mayoría,MAS,0,0,0.0,0
Bío-Bío Cordillera,Nueva Mayoría,PC,0,0,0.0,0
Bío-Bío Cordillera,Nueva Mayoría,PDC,1,53123,14.91,0
Bío-Bío Cordillera,Partido Humanista,PH,0,0,0.0,0
Bío-Bío Cordillera,Nueva Constitución para Chile,IGUALDAD,0,0,0.0,0
Bío-Bío Cordillera,Nueva Constitución para Chile,PEV,0,0,0.0,0
Bío-Bío Cordillera,Alianza,RN,1,35380,9.93,0
Bío-Bío Cordillera,Alianza,UDI,1,79298,22.25,1
Bío-Bío Cordillera,Candidatura Independiente,IND,1,16937,4.75,0
Bío-Bío Cordillera,Válidamente emitidos,,0,321730,90.28,0
Bío-Bío Cordillera,Nulos,,0,13622,3.82,0
Bío-Bío Cordillera,Blancos,,0,20999,5.89,0
Bío-Bío Cordillera,Total,,0,356351,100.0,0
Los Ríos,Nueva Mayoría,PC,1,12846,3.97,0
Los Ríos,Nueva Mayoría,PS,1,140358,43.41,1
Los Ríos,Nueva Mayoría,PPD,0,0,0.0,0
Los Ríos,Nueva Mayoría,PDC,0,0,0.0,0
Los Ríos,Nueva Mayoría,MAS,0,0,0.0,0
Los Ríos,Partido Humanista,PH,1,7882,2.44,0
Los Ríos,Nueva Constitución para Chile,PEV,0,0,0.0,0
Los Ríos,Nueva Constitución para Chile,IGUALDAD,0,0,0.0,0
Los Ríos,Alianza,RN,1,49878,15.43,0
Los Ríos,Alianza,UDI,1,68384,21.15,1
Los Ríos,Candidatura Independiente,IND,1,12240,3.79,0
Los Ríos,Válidamente emitidos,,0,299546,92.65,0
Los Ríos,Nulos,,0,7876,2.44,0
Los Ríos,Blancos,,0,15892,4.92,0
Los Ríos,Total,,0,323314,100.0,0
Los Lagos,Nueva Mayoría,PDC,1,105268,16.77,0
Los Lagos,Nueva Mayoría,PC,0,0,0.0,0
Los Lagos,Nueva Mayoría,MAS,0,0,0.0,0
Los Lagos,Nueva Mayoría,PPD,0,0,0.0,0
Los Lagos,Nueva Mayoría,PS,1,270744,43.12,1
Los Lagos,Partido Humanista,PH,0,0,0.0,0
Los Lagos,Nueva Constitución para Chile,IGUALDAD,0,0,0.0,0
Los Lagos,Nueva Constitución para Chile,PEV,0,0,0.0,0
Los Lagos,Alianza,UDI,1,108918,17.35,1
Los Lagos,Alianza,RN,1,85062,13.55,0
Los Lagos,Válidamente emitidos,,0,569992,90.79,0
Los Lagos,Nulos,,0,20230,3.22,0
Los Lagos,Blancos,,0,37612,5.99,0
Los Lagos,Total,,0,627834,100.0,0
Magallanes,Nueva Mayoría,PDC,1,22714,36.26,1
Magallanes,Nueva Mayoría,PC,0,0,0.0,0
Magallanes,Nueva Mayoría,MAS,0,0,0.0,0
Magallanes,Nueva Mayoría,PS,1,5364,8.56,0
Magallanes,Nueva Mayoría,PPD,0,0,0.0,0
Magallanes,Partido Humanista,PH,0,0,0.0,0
Magallanes,Nueva Constitución para Chile,IGUALDAD,0,0,0.0,0
Magallanes,Nueva Constitución para Chile,PEV,0,0,0.0,0
Magallanes,Alianza,UDI,0,0,0.0,0
Magallanes,Alianza,RN,0,0,0.0,0
Magallanes,Candidatura Independiente,IND,1,16330,26.07,1
Magallanes,Candidatura Independiente,IND,1,972,1.55,0
Magallanes,Válidamente emitidos,,0,59471,94.94,0
Magallanes,Nulos,,0,1875,2.99,0
Magallanes,Blancos,,0,1296,2.07,0
Magallanes,Total,,0,62642,100.0,0
