Circunscripción,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Tarapacá,Nueva Mayoría,PS,"('Fulvio', 'Rossi', 'Ciocca')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fulvio_Rossi_Ciocca
Tarapacá,Alianza,UDI,"('Jaime', 'Orpis', 'Bouchon')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Orpis_Bouchon
Antofagasta,Nueva Mayoría,IND,"('Pedro', 'Araya', 'Guerrero')",29201,17.49,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Araya_Guerrero
Antofagasta,Nueva Mayoría,IND,"('Alejandro', 'Guillier', 'Álvarez')",61911,37.08,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alejandro_René_Eleodoro_Guillier_Álvarez
Antofagasta,Partido Humanista,PH,"('Gisela', 'Contreras', 'Braña')",3919,2.35,,,
Antofagasta,Nueva Constitución para Chile,IND,"('Jimena', 'Estrella', 'Orrego', 'Henriquez')",4218,2.53,,,
Antofagasta,Alianza,UDI,"('Manuel', 'Rojas', 'Molina')",39387,23.59,,,
Antofagasta,Candidatura Independiente,IND,"('Carlos', 'Cantero', 'Ojeda')",18416,11.03,,,
Antofagasta,Candidatura Independiente,IND,"('Daniel', 'Andrés', 'Guevara', 'Cortes')",9931,5.95,,,
Antofagasta,Válidamente emitidos,,(),166983,94.55,,,
Antofagasta,Nulos,,(),5031,2.85,,,
Antofagasta,Blancos,,(),4595,2.6,,,
Antofagasta,Total,,(),176609,100.0,,,
Atacama,Nueva Mayoría,PS,"('Isabel', 'Allende', 'Bussi')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Isabel_Allende_Bussi
Atacama,Alianza,RN,"('Baldo', 'Prokurica', 'Prokurica')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Baldo_Prokurica_Prokurica
Coquimbo,Nueva Mayoría,PPD,"('Adriana', 'Muñoz', ""D'Albora"")",73562,30.61,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Adriana_Muñoz_D'Albora
Coquimbo,Nueva Mayoría,PDC,"('Jorge', 'Pizarro', 'Soto')",78713,32.75,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Pizarro_Soto
Coquimbo,Partido Humanista,PH,"('Luis', 'Vega', 'González')",15574,6.48,,,
Coquimbo,Alianza,RN,"('Mario', 'Bertolino', 'Rendic')",28403,11.82,,,
Coquimbo,Alianza,UDI,"('Gonzalo', 'Uriarte', 'Herrera')",44083,18.34,,,
Coquimbo,Válidamente emitidos,,(),240335,92.49,,,
Coquimbo,Nulos,,(),8475,3.26,,,
Coquimbo,Blancos,,(),11027,4.24,,,
Coquimbo,Total,,(),259837,100.0,,,
Valparaíso Cordillera,Nueva Mayoría,PDC,"('Ignacio', 'Walker', 'Prieto')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ignacio_Walker_Prieto
Valparaíso Cordillera,Alianza,IND,"('Lily', 'Pérez', 'San Martín')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Lily_Jovanka_Pérez_San_Martín
Valparaíso Costa,Nueva Mayoría,PPD,"('Ricardo', 'Lagos', 'Weber')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ricardo_Lagos_Weber
