Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
D1,Chile Podemos +,PRI,"('Enrique', 'Lee', 'Flores')",7320,9.1,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Enrique_Lee_Flores
D1,Nuevo Pacto Social,PL,"('Luis', 'Fabian', 'Malla', 'Valenzuela')",2689,3.34,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Malla_Valenzuela
D1,Nuevo Pacto Social,PL,"('Vlado', 'Mirosevic', 'Verdugo')",16819,20.91,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Vlado_Mirosevic_Verdugo
D2,Apruebo Dignidad,PC,"('Matías', 'Felipe', 'Ramírez', 'Pascal')",9897,9.88,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Matías_Ramírez_Pascal
D2,Chile Podemos +,UDI,"('Renzo', 'Trisotti', 'Martínez')",11100,11.09,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Renzo_Aldo_Trisotti_Martínez
D2,Nuevo Pacto Social,PS,"('Danisa', 'Astudillo', 'Peiretti')",7582,7.57,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Danisa_Astudillo_Peiretti
D3,Apruebo Dignidad,RD,"('Catalina', 'Pérez', 'Salinas')",13235,7.27,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Catalina_Ilona_Io_Pérez_Salinas
D3,Chile Podemos +,RN,"('José', 'Miguel', 'Castro', 'Bascuñán')",8542,4.69,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Miguel_Castro_Bascuñán
D3,Nuevo Pacto Social,PPD,"('Jaime', 'Araya', 'Guerrero')",11645,6.39,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Araya_Guerrero
D3,Nuevo Pacto Social,PL,"('Sebastián', 'Videla', 'Castillo')",12266,6.73,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sebastián_Videla_Castillo
D3,Partido de la Gente,PDG,"('Yovana', 'Alejandra', 'Ahumada', 'Palma')",11892,6.53,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Yovana_Ahumada_Palma
D4,Apruebo Dignidad,FREVS,"('Jaime', 'Mulet', 'Martínez')",8077,8.18,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Mulet_Martínez
D4,Chile Podemos +,RN,"('Sofia', 'Cid', 'Versalovic')",5040,5.1,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sofía_Slovena_Cid_Versalovic
D4,Nuevo Pacto Social,PPD,"('Cristián', 'Hernándo', 'Tapia', 'Ramos')",6349,6.43,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Cristian_Tapia_Ramos
D4,Nuevo Pacto Social,PS,"('Juan', 'Rubén', 'Santana', 'Castillo')",13497,13.67,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Rubén_Santana_Castillo
D4,Nuevo Pacto Social,PS,"('Daniella', 'Cicardini', 'Milla')",16129,16.33,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Daniella_Valentina_Cicardini_Milla
D5,Apruebo Dignidad,PC,"('Carolina', 'Tello', 'Rojas')",12231,5.16,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carolina_Tello_Rojas
D5,Apruebo Dignidad,PC,"('Nathalie', 'Castillo', 'Rojas')",12304,5.2,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Nathalie_Castillo_Rojas
D5,Chile Podemos +,UDI,"('Juan', 'Manuel', 'Fuenzalida', 'Cobo')",9220,3.89,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Manuel_Fuenzalida_Cobo
D5,Chile Podemos +,UDI,"('Marco', 'Antonio', 'Sulantay', 'Olivares')",18248,7.71,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marco_Antonio_Sulantay_Olivares
