Circunscripción,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,url
1,La Fuerza de la Mayoría,PS,"['Jose', 'Miguel', 'Insulza', 'Salinas']",14501,20.3,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Miguel_Insulza_Salinas
1,Chile Vamos,UDI,"['Jose', 'Durana', 'Semir']",9639,13.5,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Miguel_Alberto_Durana_Semir
2,La Fuerza de la Mayoría,PPD,"['Jorge', 'Soria', 'Quiroga']",31627,34.2,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Alejandro_Soria_Quiroga
2,Chile Vamos,UDI,"['Luz', 'Ebensperger', 'Orrego']",21195,22.92,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luz_Eliana_Ebensperger_Orrego
4,Convergencia Democrática,PDC,"['Yasna', 'Provoste', 'Campillay']",32598,34.25,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Yasna_Provoste_Campillay
4,Chile Vamos,RN,"['Rafael', 'Prohens', 'Espinosa']",17604,18.5,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rafael_Prohens_Espinosa
6,Frente Amplio,RD,"['Juan', 'Ignacio', 'Latorre', 'Riveros']",30545,4.6,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Ignacio_Latorre_Riveros
6,La Fuerza de la Mayoría,PS,"['Isabel', 'Allende', 'Bussi']",59214,8.92,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Isabel_Allende_Bussi
6,La Fuerza de la Mayoría,PPD,"['Ricardo', 'Lagos', 'Weber']",74031,11.15,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ricardo_Lagos_Weber
6,Chile Vamos,RN,"['Francisco', 'Chahuan', 'Chahuan']",150065,22.6,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Chahuán_Chahuán
6,Chile Vamos,RN,"['Kenneth', 'Pugh', 'Olavarria']",14203,2.14,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Kenneth_Peter_Pugh_Olavarría
9,La Fuerza de la Mayoría,PS,"['Alvaro', 'Elizalde', 'Soto']",61828,8.36,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Álvaro_Antonio_Elizalde_Soto
9,Convergencia Democrática,PDC,"['Ximena', 'Rincon', 'Gonzalez']",77500,10.48,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ximena_Rincón_González
9,Chile Vamos,RN,"['Juan', 'Castro', 'Prieto']",108960,14.73,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Enrique_Castro_Prieto
9,Chile Vamos,UDI,"['Juan', 'Antonio', 'Coloma', 'Correa']",117232,15.85,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Antonio_Coloma_Correa
9,Chile Vamos,RN,"['Rodrigo', 'Galilea', 'Vial']",56442,7.63,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rodrigo_Galilea_Vial
11,La Fuerza de la Mayoría,PPD,"['Jaime', 'Quintana', 'Leal']",34331,10.17,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Quintana_Leal
11,Convergencia Democrática,PDC,"['Francisco', 'Huenchumilla', 'Jaramillo']",38203,11.31,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Huenchumilla_Jaramillo
11,Chile Vamos,RN,"['Jose', 'Garcia', 'Ruminot']",33493,9.92,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Gilberto_García_Ruminot
11,Chile Vamos,EVOPOLI,"['Carmen', 'Gloria', 'Aravena', 'Acuña']",4185,1.24,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carmen_Gloria_Aravena_Acuña
11,Chile Vamos,EVOPOLI,"['Felipe', 'Kast', 'Sommerhoff']",63605,18.83,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Felipe_José_Kast_Sommerhoff
14,La Fuerza de la Mayoría,PPD,"['Ximena', 'Ordenes', 'Neira']",5405,15.14,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ximena_Loreto_Órdenes_Neira
14,Chile Vamos,UDI,"['David', 'Sandoval', 'Plaza']",7320,20.51,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/David_Sandoval_Plaza
