Circunscripción,Lista/Pacto,Candidaturas,Votos,Porcentaje,Electos
Tarapacá,Alternativa Democrática de Izquierda,1,6567,4.06,0
Tarapacá,Unión por el Progreso de Chile,2,58333,36.05,1
Tarapacá,La Nueva Izquierda,1,2220,1.37,0
Tarapacá,Concertación de Partidos por la Democracia,2,93236,57.63,1
Tarapacá,Candidatura Independiente,1,1435,0.89,0
Tarapacá,Válidamente emitidos,0,161791,100.0,0
Atacama,Alternativa Democrática de Izquierda,2,9729,8.88,0
Atacama,Unión por el Progreso de Chile,2,38423,35.05,1
Atacama,La Nueva Izquierda,0,0,0.0,0
Atacama,Concertación de Partidos por la Democracia,2,61465,56.07,1
Atacama,Válidamente emitidos,0,109617,100.0,0
Valparaíso Cordillera,Alternativa Democrática de Izquierda,2,21040,5.95,0
Valparaíso Cordillera,Unión por el Progreso de Chile,2,118001,33.35,1
Valparaíso Cordillera,La Nueva Izquierda,0,0,0.0,0
Valparaíso Cordillera,Concertación de Partidos por la Democracia,2,174952,49.45,1
Valparaíso Cordillera,Candidatura Independiente,1,39798,11.25,0
Valparaíso Cordillera,Válidamente emitidos,0,353791,100.0,0
Valparaíso Costa,Alternativa Democrática de Izquierda,1,18220,4.67,0
Valparaíso Costa,Unión por el Progreso de Chile,2,135243,34.69,1
Valparaíso Costa,La Nueva Izquierda,2,6308,1.62,0
Valparaíso Costa,Concertación de Partidos por la Democracia,2,230083,59.02,1
Valparaíso Costa,Válidamente emitidos,0,389854,100.0,0
Maule Norte,Alternativa Democrática de Izquierda,1,8326,3.04,0
Maule Norte,Unión por el Progreso de Chile,2,111721,40.82,1
Maule Norte,La Nueva Izquierda,0,0,0.0,0
Maule Norte,Concertación de Partidos por la Democracia,2,153612,56.13,1
Maule Norte,Válidamente emitidos,0,273659,100.0,0
Maule Sur,Alternativa Democrática de Izquierda,1,3421,2.13,0
Maule Sur,Unión por el Progreso de Chile,2,61650,38.41,1
Maule Sur,La Nueva Izquierda,0,0,0.0,0
Maule Sur,Concertación de Partidos por la Democracia,2,95416,59.45,1
Maule Sur,Válidamente emitidos,0,160487,100.0,0
Araucanía Norte,Alternativa Democrática de Izquierda,1,3743,2.71,0
Araucanía Norte,Unión por el Progreso de Chile,2,45675,33.01,1
Araucanía Norte,La Nueva Izquierda,0,0,0.0,0
Araucanía Norte,Concertación de Partidos por la Democracia,2,88940,64.28,1
Araucanía Norte,Válidamente emitidos,0,138358,100.0,0
Araucanía Sur,Alternativa Democrática de Izquierda,2,8682,3.51,0
Araucanía Sur,Unión por el Progreso de Chile,2,110627,44.66,1
Araucanía Sur,La Nueva Izquierda,1,3740,1.51,0
Araucanía Sur,Concertación de Partidos por la Democracia,2,124642,50.32,1
Araucanía Sur,Válidamente emitidos,0,247691,100.0,0
Aysén,Alternativa Democrática de Izquierda,2,1653,4.25,0
Aysén,Unión por el Progreso de Chile,2,19741,50.78,1
Aysén,La Nueva Izquierda,0,0,0.0,0
Aysén,Concertación de Partidos por la Democracia,2,17485,44.97,1
Aysén,Válidamente emitidos,0,38879,100.0,0
