Distrito,Lista/Pacto,Candidaturas,Votos,Porcentaje,Electos
D1,Alternativa Democrática de Izquierda,1,3000,3.59,0
D1,Unión por el Progreso de Chile,2,27726,33.21,1
D1,La Nueva Izquierda,1,887,1.06,0
D1,Concertación de Partidos por la Democracia,2,51867,62.13,1
D1,Válidamente emitidos,0,83480,100.0,0
D2,Alternativa Democrática de Izquierda,2,16357,20.75,0
D2,Unión por el Progreso de Chile,2,35020,44.42,1
D2,La Nueva Izquierda,1,815,1.03,0
D2,Concertación de Partidos por la Democracia,2,26650,33.8,1
D2,Válidamente emitidos,0,78842,100.0,0
D3,Alternativa Democrática de Izquierda,2,4527,5.63,0
D3,Unión por el Progreso de Chile,2,27661,34.41,1
D3,La Nueva Izquierda,1,910,1.13,0
D3,Concertación de Partidos por la Democracia,2,47300,58.83,1
D3,Válidamente emitidos,0,80398,100.0,0
D4,Alternativa Democrática de Izquierda,2,8763,7.57,0
D4,Unión por el Progreso de Chile,2,31502,27.2,0
D4,La Nueva Izquierda,0,0,0.0,0
D4,Concertación de Partidos por la Democracia,2,75560,65.24,2
D4,Válidamente emitidos,0,115825,100.0,0
D5,Alternativa Democrática de Izquierda,2,6472,9.81,0
D5,Unión por el Progreso de Chile,2,22095,33.5,1
D5,La Nueva Izquierda,1,2215,3.36,0
D5,Concertación de Partidos por la Democracia,2,35183,53.34,1
D5,Válidamente emitidos,0,65965,100.0,0
D6,Alternativa Democrática de Izquierda,2,3242,7.42,0
D6,Unión por el Progreso de Chile,2,23710,54.24,1
D6,La Nueva Izquierda,1,619,1.42,0
D6,Concertación de Partidos por la Democracia,2,16142,36.93,1
D6,Válidamente emitidos,0,43713,100.0,0
D7,Alternativa Democrática de Izquierda,2,5590,6.71,0
D7,Unión por el Progreso de Chile,2,30938,37.12,1
D7,La Nueva Izquierda,0,0,0.0,0
D7,Concertación de Partidos por la Democracia,2,46809,56.17,1
D7,Válidamente emitidos,0,83337,100.0,0
D8,Alternativa Democrática de Izquierda,2,6697,6.84,0
D8,Unión por el Progreso de Chile,2,26629,27.19,0
D8,La Nueva Izquierda,0,0,0.0,0
D8,Concertación de Partidos por la Democracia,2,64618,65.97,2
D8,Válidamente emitidos,0,97944,100.0,0
D9,Alternativa Democrática de Izquierda,2,9348,14.84,0
D9,Unión por el Progreso de Chile,2,16368,25.99,0
D9,La Nueva Izquierda,0,0,0.0,0
D9,Concertación de Partidos por la Democracia,2,37264,59.17,2
D9,Válidamente emitidos,0,62980,100.0,0
D10,Alternativa Democrática de Izquierda,2,8536,6.33,0
D10,Unión por el Progreso de Chile,2,50859,37.69,1
D10,La Nueva Izquierda,0,0,0.0,0
D10,Concertación de Partidos por la Democracia,2,75537,55.98,1
D10,Válidamente emitidos,0,134932,100.0,0
D11,Alternativa Democrática de Izquierda,2,7626,7.3,0
D11,Unión por el Progreso de Chile,2,36460,34.9,1
D11,La Nueva Izquierda,1,1341,1.28,0
D11,Concertación de Partidos por la Democracia,2,59044,56.52,1
D11,Válidamente emitidos,0,104471,100.0,0
D12,Alternativa Democrática de Izquierda,1,5917,5.21,0
D12,Unión por el Progreso de Chile,2,52778,46.49,1
D12,La Nueva Izquierda,0,0,0.0,0
D12,Concertación de Partidos por la Democracia,2,54830,48.3,1
D12,Válidamente emitidos,0,113525,100.0,0
D13,Alternativa Democrática de Izquierda,2,15104,9.8,0
D13,Unión por el Progreso de Chile,2,53554,34.74,1
D13,La Nueva Izquierda,2,4046,2.62,0
D13,Concertación de Partidos por la Democracia,2,81448,52.84,1
D13,Válidamente emitidos,0,154152,100.0,0
D14,Alternativa Democrática de Izquierda,1,14019,8.76,0
D14,Unión por el Progreso de Chile,2,75560,47.19,1
D14,La Nueva Izquierda,1,2866,1.79,0
D14,Concertación de Partidos por la Democracia,2,67658,42.26,1
D14,Válidamente emitidos,0,160103,100.0,0
D15,Alternativa Democrática de Izquierda,2,7660,10.12,0
D15,Unión por el Progreso de Chile,2,30522,40.31,1
D15,La Nueva Izquierda,0,0,0.0,0
D15,Concertación de Partidos por la Democracia,2,36893,48.72,1
D15,Candidatura Independiente,1,645,0.85,0
D15,Válidamente emitidos,0,75720,100.0,0
D16,Alternativa Democrática de Izquierda,1,4456,3.61,0
D16,Unión por el Progreso de Chile,2,42294,34.25,1
D16,La Nueva Izquierda,2,2908,2.36,0
D16,Concertación de Partidos por la Democracia,2,73817,59.78,1
D16,Válidamente emitidos,0,123475,100.0,0
D17,Alternativa Democrática de Izquierda,2,14284,8.23,0
D17,Unión por el Progreso de Chile,2,34887,20.09,0
D17,La Nueva Izquierda,1,3584,2.06,0
D17,Concertación de Partidos por la Democracia,2,120883,69.62,2
D17,Válidamente emitidos,0,173638,100.0,0
D18,Alternativa Democrática de Izquierda,2,29904,15.28,0
D18,Unión por el Progreso de Chile,2,39006,19.93,0
D18,La Nueva Izquierda,2,4521,2.31,0
D18,Concertación de Partidos por la Democracia,2,122256,62.48,2
D18,Válidamente emitidos,0,195687,100.0,0
D19,Alternativa Democrática de Izquierda,2,8164,6.18,0
D19,Unión por el Progreso de Chile,2,49401,37.42,1
D19,La Nueva Izquierda,1,1559,1.18,0
D19,Concertación de Partidos por la Democracia,2,72890,55.21,1
D19,Válidamente emitidos,0,132014,100.0,0
D20,Alternativa Democrática de Izquierda,2,11282,5.16,0
D20,Unión por el Progreso de Chile,2,86180,39.4,1
D20,La Nueva Izquierda,1,3489,1.59,0
D20,Concertación de Partidos por la Democracia,2,117806,53.85,1
D20,Válidamente emitidos,0,218757,100.0,0
D21,Alternativa Democrática de Izquierda,2,6035,3.15,0
D21,Unión por el Progreso de Chile,2,96125,50.21,1
D21,La Nueva Izquierda,2,10541,5.51,0
D21,Concertación de Partidos por la Democracia,2,78737,41.13,1
D21,Válidamente emitidos,0,191438,100.0,0
D22,Alternativa Democrática de Izquierda,1,4731,3.52,0
D22,Unión por el Progreso de Chile,2,49876,37.13,1
D22,La Nueva Izquierda,1,2883,2.15,0
D22,Concertación de Partidos por la Democracia,2,76825,57.2,1
D22,Válidamente emitidos,0,134315,100.0,0
D23,Alternativa Democrática de Izquierda,2,2157,1.15,0
D23,Unión por el Progreso de Chile,2,123920,66.06,2
D23,La Nueva Izquierda,2,1668,0.89,0
D23,Concertación de Partidos por la Democracia,2,59841,31.9,0
D23,Válidamente emitidos,0,187586,100.0,0
D24,Alternativa Democrática de Izquierda,2,5331,3.87,0
D24,Unión por el Progreso de Chile,2,59651,43.28,1
D24,La Nueva Izquierda,2,6326,4.59,0
D24,Concertación de Partidos por la Democracia,2,66516,48.26,1
D24,Válidamente emitidos,0,137824,100.0,0
D25,Alternativa Democrática de Izquierda,2,13437,7.37,0
D25,Unión por el Progreso de Chile,2,56214,30.83,1
D25,La Nueva Izquierda,2,5077,2.78,0
D25,Concertación de Partidos por la Democracia,2,107605,59.02,1
D25,Válidamente emitidos,0,182333,100.0,0
D26,Alternativa Democrática de Izquierda,2,5880,4.01,0
D26,Unión por el Progreso de Chile,2,42404,28.88,0
D26,La Nueva Izquierda,2,2298,1.57,0
D26,Concertación de Partidos por la Democracia,2,96228,65.55,2
D26,Válidamente emitidos,0,146810,100.0,0
D27,Alternativa Democrática de Izquierda,2,11980,6.39,0
D27,Unión por el Progreso de Chile,2,65682,35.02,1
D27,La Nueva Izquierda,0,0,0.0,0
D27,Concertación de Partidos por la Democracia,2,109903,58.59,1
D27,Válidamente emitidos,0,187565,100.0,0
D28,Alternativa Democrática de Izquierda,2,27198,14.86,0
D28,Unión por el Progreso de Chile,2,59331,32.41,1
D28,La Nueva Izquierda,2,4472,2.44,0
D28,Concertación de Partidos por la Democracia,2,92048,50.29,1
D28,Válidamente emitidos,0,183049,100.0,0
D29,Alternativa Democrática de Izquierda,2,9960,6.08,0
D29,Unión por el Progreso de Chile,2,51054,31.15,1
D29,La Nueva Izquierda,1,1958,1.19,0
D29,Concertación de Partidos por la Democracia,2,100928,61.58,1
D29,Válidamente emitidos,0,163900,100.0,0
D30,Alternativa Democrática de Izquierda,1,4809,3.25,0
D30,Unión por el Progreso de Chile,2,59377,40.08,1
D30,La Nueva Izquierda,2,4586,3.1,0
D30,Concertación de Partidos por la Democracia,2,79362,53.57,1
D30,Válidamente emitidos,0,148134,100.0,0
D31,Alternativa Democrática de Izquierda,2,12280,8.19,0
D31,Unión por el Progreso de Chile,2,58564,39.06,1
D31,La Nueva Izquierda,1,1593,1.06,0
D31,Concertación de Partidos por la Democracia,2,77498,51.69,1
D31,Válidamente emitidos,0,149935,100.0,0
D32,Alternativa Democrática de Izquierda,2,7986,8.51,0
D32,Unión por el Progreso de Chile,2,29638,31.58,1
D32,La Nueva Izquierda,2,4895,5.22,0
D32,Concertación de Partidos por la Democracia,2,51327,54.69,1
D32,Válidamente emitidos,0,93846,100.0,0
D33,Alternativa Democrática de Izquierda,2,4103,3.69,0
D33,Unión por el Progreso de Chile,2,38875,34.96,1
D33,La Nueva Izquierda,1,1281,1.15,0
D33,Concertación de Partidos por la Democracia,2,66941,60.2,1
D33,Válidamente emitidos,0,111200,100.0,0
D34,Alternativa Democrática de Izquierda,1,3753,4.09,0
