Circunscripción,Lista/Pacto,Partido,Candidaturas,Votos,Porcentaje,Electos
1,Alternativa Democrática de Izquierda,PC,1,6567,4.06,0
1,Unión por el Progreso de Chile,UDI,1,17005,10.51,0
1,Unión por el Progreso de Chile,RN,1,41328,25.54,1
1,La Nueva Izquierda,AHV,1,2220,1.37,0
1,Concertación de Partidos por la Democracia,PDC,1,29426,18.19,0
1,Concertación de Partidos por la Democracia,PPD,1,63810,39.44,1
1,Candidatura Independiente,IND,1,1435,0.89,0
1,Válidamente emitidos,,0,161791,100.0,0
3,Alternativa Democrática de Izquierda,PC,1,5390,4.92,0
3,Unión por el Progreso de Chile,UDI,1,14686,13.4,0
3,Unión por el Progreso de Chile,RN,1,23737,21.65,1
3,Concertación de Partidos por la Democracia,PS,1,32442,29.6,1
3,Concertación de Partidos por la Democracia,PR,1,29023,26.48,0
3,Válidamente emitidos,,0,109617,100.0,0
5,Alternativa Democrática de Izquierda,PC,1,12101,3.42,0
5,Unión por el Progreso de Chile,RN,1,109538,30.96,1
5,Concertación de Partidos por la Democracia,PR,1,57253,16.18,0
5,Concertación de Partidos por la Democracia,PS,1,117699,33.27,1
5,Candidatura Independiente,IND,1,39798,11.25,0
5,Válidamente emitidos,,0,353791,100.0,0
6,Alternativa Democrática de Izquierda,PC,1,18220,4.67,0
6,Unión por el Progreso de Chile,UCC,1,18038,4.63,0
6,Unión por el Progreso de Chile,UDI,1,117205,30.06,1
6,La Nueva Izquierda,AHV,2,6308,1.62,0
6,Concertación de Partidos por la Democracia,PDC,1,116515,29.89,1
6,Concertación de Partidos por la Democracia,PPD,1,113568,29.13,0
6,Válidamente emitidos,,0,389854,100.0,0
10,Alternativa Democrática de Izquierda,PC,1,8326,3.04,0
10,Unión por el Progreso de Chile,UCC,1,8154,2.98,0
10,Concertación de Partidos por la Democracia,PDC,1,71353,26.07,0
10,Concertación de Partidos por la Democracia,PS,1,82259,30.06,1
10,Válidamente emitidos,,0,273659,100.0,0
11,Alternativa Democrática de Izquierda,PC,1,3421,2.13,0
11,Unión por el Progreso de Chile,UCC,1,20263,12.63,0
11,Unión por el Progreso de Chile,UDI,1,41387,25.79,1
11,Concertación de Partidos por la Democracia,PPD,1,42592,26.54,0
11,Concertación de Partidos por la Democracia,PDC,1,52824,32.91,1
11,Válidamente emitidos,,0,160487,100.0,0
14,Alternativa Democrática de Izquierda,PC,1,3743,2.71,0
14,Unión por el Progreso de Chile,RN,1,38662,27.94,1
14,Concertación de Partidos por la Democracia,PPD,1,55757,40.3,1
14,Concertación de Partidos por la Democracia,PR,1,33183,23.98,0
14,Válidamente emitidos,,0,138358,100.0,0
15,Alternativa Democrática de Izquierda,PC,1,5652,2.28,0
15,Alternativa Democrática de Izquierda,MAPU,1,3030,1.22,0
15,Unión por el Progreso de Chile,RN,1,58118,23.46,1
15,Unión por el Progreso de Chile,SUR,1,52509,21.2,0
15,Concertación de Partidos por la Democracia,PDC,1,97389,39.32,1
15,Válidamente emitidos,,0,247691,100.0,0
18,Alternativa Democrática de Izquierda,PC,2,1653,4.25,0
18,Unión por el Progreso de Chile,RN,1,8197,21.08,0
18,Concertación de Partidos por la Democracia,PDC,1,11480,29.53,1
18,Concertación de Partidos por la Democracia,PS,1,6005,15.45,0
18,Válidamente emitidos,,0,38879,100.0,0
