Circunscripción,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Tarapacá,Concertación de Partidos por la Democracia,PPD,"('Sergio', 'Bitar', 'Chacra')",63810,39.44,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Bitar_Chacra
Tarapacá,Unión por el Progreso de Chile,RN,"('Julio', 'Lagos', 'Cosgrove')",41328,25.54,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Julio_Lagos_Cosgrove
Antofagasta,Concertación de Partidos por la Democracia,PDC,"('Carmen', 'Frei', 'Ruiz-Tagle')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carmen_Frei_Ruiz-Tagle
Antofagasta,Unión por el Progreso de Chile,IND,"('Arturo', 'Alessandri', 'Besa')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Arturo_Alessandri_Besa
Atacama,Concertación de Partidos por la Democracia,PS,"('Ricardo', 'Núñez', 'Muñoz')",32442,29.6,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ricardo_Núñez_Muñoz
Atacama,Unión por el Progreso de Chile,RN,"('Ignacio', 'Pérez', 'Walker')",23737,21.65,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Julio_Lagos_Cosgrove
Coquimbo,Concertación de Partidos por la Democracia,PDC,"('Luis', 'Ricardo', 'Hormazábal', 'Sánchez')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Ricardo_Hormazábal_Sánchez
Coquimbo,Unión por el Progreso de Chile,RN,"('Alberto', 'Cooper', 'Valencia')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alberto_Cooper_Valencia
Valparaíso Cordillera,Concertación de Partidos por la Democracia,PS,"('Carlos', 'Ominami', 'Pascual')",117699,33.27,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Ominami_Pascual
Valparaíso Cordillera,Unión por el Progreso de Chile,RN,"('Sergio', 'Romero', 'Pizarro')",109538,30.96,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Romero_Pizarro
Valparaíso Costa,Concertación de Partidos por la Democracia,PDC,"('Juan', 'Patricio', 'José', 'Hamilton', 'Depassier')",116515,29.89,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Patricio_José_Hamilton_Depassier
Valparaíso Costa,Unión por el Progreso de Chile,UDI,"('Beltrán', 'Urenda', 'Zegers')",117205,30.06,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Beltrán_Urenda_Zegers
Santiago Poniente,Concertación de Partidos por la Democracia,PDC,"('Andrés', 'Zaldívar', 'Larraín')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrés_Zaldívar_Larraín
Santiago Poniente,Unión por el Progreso de Chile,RN,"('Miguel', 'Otero', 'Lathrop')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Miguel_Otero_Lathrop
Santiago Oriente,Concertación de Partidos por la Democracia,PS,"('María', 'Elena', 'Carrera', 'Villavicencio')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Elena_Carrera_Villavicencio
Santiago Oriente,Unión por el Progreso de Chile,IND,"('Sebastián', 'Piñera', 'Echenique')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sebastián_Piñera_Echenique
