Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Tarapacá,Partido Demócrata,PD,"('Pedro', 'Segundo', 'Araya', 'Araya')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Segundo_Araya_Araya
Tarapacá,Partido Liberal Democrático,PLDe,"('Óscar', 'Viel', 'Cavero')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Oscar_Viel_Cavero
Antofagasta,Partido Demócrata,PD,"('Lindorfo', 'Alarcón', 'Hevia')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Lindorfo_Alarcón_Hevia
Antofagasta,Partido Radical,PR,"('Eduardo', 'Délano', 'Rojas')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eduardo_Délano_Rojas
Copiapó,Partido Radical,PR,"('Javier', 'Gandarillas', 'Matta')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Javier_Gandarillas_Matta
Copiapó,Partido Radical,PR,"('Francisco', 'de Paula', 'Pleiteado', 'Cevallos')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_de_Paula_Pleiteado_Cevallos
Copiapó,Partido Radical,PR,"('Eduardo', 'Suárez', 'Mujica')",,,*,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eduardo_Suárez_Mujica
Copiapó,Partido Conservador,PCon,"('Bruno', 'Sergio', 'Pizarro', 'Espoz')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Bruno_Sergio_Pizarro_Espoz
La Serena,Partido Liberal Democrático,PLDe,"('Luis', 'Vicuña', 'Cifuentes')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Vicuña_Cifuentes
La Serena,Partido Radical,PR,"('Ildefonso', 'Marcial', 'Rivera', 'Alcayaga')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ildefonso_Marcial_Rivera_Alcayaga
La Serena,Partido Nacional,PN,"('Enrique', 'Alberto', 'Rodríguez', 'Carmona')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Enrique_Alberto_Rodríguez_Carmona
Ovalle,Partido Liberal Democrático,PLDe,"('José', 'Victorino', 'Varela')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Victorino_Varela
Ovalle,Partido Radical,PR,"('Ramón', 'Corbalán', 'Melgarejo')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ramón_Corbalán_Melgarejo
Ovalle,Partido Conservador,PCon,"('Luis', 'Eguiguren', 'Valero')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Eguiguren_Valero
Ovalle,Partido Nacional,PN,"('Guillermo', 'Echavarría', 'Tagle')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Guillermo_Echavarría_Tagle
