Circunscripción,Lista/Pacto,Candidaturas,Votos,Porcentaje,Electos
Tarapacá,Partido Comunista,1,4808,3.11,0
Tarapacá,Partido Humanista,1,1323,0.86,0
Tarapacá,Alianza por Chile,2,62937,40.72,1
Tarapacá,Partido Liberal,0,0,0.0,0
Tarapacá,Concertación,2,60913,39.41,1
Tarapacá,Candidatura Independiente,1,24569,15.9,0
Tarapacá,Válidamente emitidos,0,154550,100.0,0
Atacama,Partido Comunista,0,0,0.0,0
Atacama,Partido Humanista,0,0,0.0,0
Atacama,Alianza por Chile,1,38212,38.9,1
Atacama,Partido Liberal,0,0,0.0,0
Atacama,Concertación,2,60013,61.1,1
Atacama,Válidamente emitidos,0,98225,100.0,0
Valparaíso Cordillera,Partido Comunista,1,11909,3.7,0
Valparaíso Cordillera,Partido Humanista,0,0,0.0,0
Valparaíso Cordillera,Alianza por Chile,2,137167,42.66,1
Valparaíso Cordillera,Partido Liberal,0,0,0.0,0
Valparaíso Cordillera,Concertación,2,172461,53.64,1
Valparaíso Cordillera,Válidamente emitidos,0,321537,100.0,0
Valparaíso Costa,Partido Comunista,2,9163,2.57,0
Valparaíso Costa,Partido Humanista,1,5142,1.44,0
Valparaíso Costa,Alianza por Chile,1,136464,38.35,1
Valparaíso Costa,Partido Liberal,0,0,0.0,0
Valparaíso Costa,Concertación,2,205082,57.63,1
Valparaíso Costa,Válidamente emitidos,0,355851,100.0,0
Maule Norte,Partido Comunista,1,7211,2.83,0
Maule Norte,Partido Humanista,0,0,0.0,0
Maule Norte,Alianza por Chile,2,108314,42.46,1
Maule Norte,Partido Liberal,0,0,0.0,0
Maule Norte,Concertación,2,139582,54.72,1
Maule Norte,Válidamente emitidos,0,255107,100.0,0
Maule Sur,Partido Comunista,1,1988,1.32,0
Maule Sur,Partido Humanista,0,0,0.0,0
Maule Sur,Alianza por Chile,2,70711,46.83,1
Maule Sur,Partido Liberal,1,1407,0.93,0
Maule Sur,Concertación,2,76897,50.92,1
Maule Sur,Válidamente emitidos,0,151003,100.0,0
Araucanía Norte,Partido Comunista,1,4004,3.09,0
Araucanía Norte,Partido Humanista,0,0,0.0,0
Araucanía Norte,Alianza por Chile,1,62813,48.5,1
Araucanía Norte,Partido Liberal,0,0,0.0,0
Araucanía Norte,Concertación,2,62696,48.41,1
Araucanía Norte,Válidamente emitidos,0,129513,100.0,0
Araucanía Sur,Partido Comunista,1,5553,2.42,0
Araucanía Sur,Partido Humanista,0,0,0.0,0
Araucanía Sur,Alianza por Chile,2,133005,58.05,1
Araucanía Sur,Partido Liberal,0,0,0.0,0
Araucanía Sur,Concertación,2,90579,39.53,1
Araucanía Sur,Válidamente emitidos,0,229137,100.0,0
Aysén,Partido Comunista,1,1099,2.93,0
Aysén,Partido Humanista,0,0,0.0,0
Aysén,Alianza por Chile,1,13096,34.93,1
Aysén,Partido Liberal,0,0,0.0,0
Aysén,Concertación,2,20770,55.4,1
Aysén,Candidatura Independiente,1,2527,6.74,0
Aysén,Válidamente emitidos,0,37492,100.0,0
