Circunscripción,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Los Lagos Norte,Alianza por Chile,UDI,"('Marco', 'Cariola', 'Barroilhet')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marco_Antonio_Cariola_Barroilhet
Los Lagos Norte,Concertación,PDC,"('Gabriel', 'Valdés', 'Subercaseaux')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gabriel_Valdés_Subercaseaux
Los Lagos Sur,Alianza por Chile,UDI,"('Rodolfo', 'Stange', 'Oelckers')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rodolfo_Stange_Oelckers
Los Lagos Sur,Concertación,PDC,"('Sergio', 'Páez', 'Verdugo')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Páez_Verdugo
Aysén,Alianza por Chile,IND,"('Antonio', 'Horvath', 'Kiss')",13096,34.93,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Antonio_Horvath_Kiss
Aysén,Concertación,PDC,"('Adolfo', 'Zaldívar', 'Larraín')",11302,30.15,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Miguel_Adolfo_Zaldívar_Larraín
Magallanes,Alianza por Chile,UDI,"('Sergio', 'Fernández', 'Fernández')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Fernández_Aguayo
Magallanes,Concertación,PDC,"('José', 'Ruiz', 'de Giorgio')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Ruiz_de_Giorgio
Designados,Alianza por Chile,SUPREMA,"('Marcos', 'Aburto', 'Ochoa')",0,0.0,*,*,
Designados,Alianza por Chile,SUPREMA,"('Enrique', 'Zurita', 'Campos')",0,0.0,*,*,
Designados,Alianza por Chile,COSENA,"('Julio', 'Canessa', 'Robert')",0,0.0,*,*,
Designados,Alianza por Chile,PR,"('Augusto', 'Parra', 'Muñoz')",0,0.0,*,*,
Designados,Alianza por Chile,PR,"('Enrique', 'Silva', 'Cimma')",0,0.0,*,*,
Designados,Alianza por Chile,COSENA,"('Fernando', 'Cordero', 'Rusque')",0,0.0,*,*,
Designados,Alianza por Chile,COSENA,"('Ramón', 'Vega', 'Hidalgo')",0,0.0,*,*,
Designados,Alianza por Chile,COSENA,"('Jorge', 'Martínez', 'Busch')",0,0.0,*,*,
Designados,Alianza por Chile,PDC,"('Edgardo', 'Böeninger', 'Kausel')",0,0.0,*,*,
Designados,Alianza por Chile,PDC,"('Eduardo', 'Frei', 'Ruiz-Tagle')",0,0.0,*,*,
Designados,Alianza por Chile,VIT,"('Augusto', 'Pinochet', 'Ugarte')",0,0.0,*,,
