Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,url
1,Partido Comunista,PC,"['Paul', 'González', 'Carrasco']",2007,2.81,,
1,Partido Humanista,PH,"['Nelson', 'Silva', 'Orellana']",642,0.9,,
1,Alianza por Chile,RN,"['Manuel', 'Rodríguez', 'Campillay']",9720,13.62,,
1,Alianza por Chile,UDI,"['Rosa', 'González', 'Román']",10835,15.18,*,
1,Concertación,PDC,"['Javiera', 'Palza', 'Cordero']",6013,8.43,,
1,Concertación,PPD,"['Salvador', 'Urrutia', 'Cárdenas']",13708,19.21,,
1,Candidatura Independiente,IND,"['Víctor', 'Hugo', 'Vega', 'Zepeda']",1158,1.62,,
1,Candidatura Independiente,IND,"['Iván', 'Paredes', 'Fierro']",26886,37.68,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Iván_Paredes_Fierro
1,Candidatura Independiente,IND,"['Sergio', 'Stancic', 'Machicao']",386,0.54,,
1,Válidamente emitidos,,[],71355,100.0,,
2,Partido Comunista,PC,"['Joaquín', 'Ramírez', 'Salgado']",2742,3.27,,
2,Partido Humanista,PH,"['Víctor', 'Rubén', 'Velas', 'Rojas']",313,0.37,,
2,Partido Humanista,PH,"['Paola', 'Andrea', 'Alzamora', 'Aguirre']",301,0.36,,
2,Alianza por Chile,RN,"['Nestor', 'Jofre', 'Núñez']",8660,10.32,,
2,Alianza por Chile,IND,"['Ramón', 'Pérez', 'Opazo']",17454,20.8,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ramón_Segundo_Pérez_Opazo
2,Concertación,IND,"['Fulvio', 'Rossi', 'Ciocca']",24480,29.18,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fulvio_Rossi_Ciocca
2,Concertación,PDC,"['Antonella', 'Sciaraffia', 'Estrada']",22652,27.0,,
2,Candidatura Independiente,IND,"['Ivan', 'Zdayesko', 'Barbaric', 'Sciaraffia']",7292,8.69,,
2,Válidamente emitidos,,[],83894,100.0,,
3,Partido Comunista,PC,"['Doris', 'Navarro', 'Figueroa']",2927,4.48,,
3,Alianza por Chile,RN,"['Ignacio', 'Urdangarín', 'Escobar']",5899,9.02,,
3,Alianza por Chile,UDI,"['Mario', 'Escobar', 'Urbina']",13745,21.03,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mario_Escobar_Urbina
3,Concertación,PDC,"['Waldo', 'Mora', 'Longa']",14433,22.08,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Waldo_Mora_Longa
3,Concertación,PS,"['Fanny', 'Pollarolo', 'Villa']",14338,21.94,,
3,Candidatura Independiente,IND,"['José', 'Daniel', 'Barraza', 'Cubillos']",14021,21.45,,
3,Válidamente emitidos,,[],65363,100.0,,
4,Alianza por Chile,UDI,"['Manuel', 'Rojas', 'Molina']",37033,35.75,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Rojas_Molina
4,Alianza por Chile,IND,"['Antonio', 'Ilic', 'Vladislavic']",4434,4.28,,
4,Concertación,PDC,"['Pedro', 'Araya', 'Guerrero']",32338,31.22,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Araya_Guerrero
4,Concertación,PS,"['Felipe', 'Valenzuela', 'Herrera']",29773,28.74,,
4,Válidamente emitidos,,[],103578,100.0,,
5,Partido Comunista,PC,"['Francisco', 'Martínez', 'Abarca']",1724,3.0,,
5,Partido Comunista,PC,"['Herman', 'Castro', 'López']",3274,5.69,,
5,Alianza por Chile,RN,"['Carlos', 'Vilches', 'Guzmán']",10960,19.04,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Alfredo_Vilches_Guzmán
5,Alianza por Chile,UDI,"['Alberto', 'Calvo', 'Montes']",9058,15.74,,
5,Concertación,PPD,"['Antonio', 'Leal', 'Labrín']",29382,51.05,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Antonio_Leal_Labrín
5,Concertación,PDC,"['Cleofe', 'Molina', 'Alvarez']",3155,5.48,,
5,Válidamente emitidos,,[],57553,100.0,,
6,Partido Comunista,PC,"['Wilson', 'Chinga', 'Ferreira']",1525,3.72,,
6,Partido Humanista,PH,"['Jaime', 'Noriega', 'Duarte']",737,1.8,,
6,Alianza por Chile,RN,"['Arnaldo', 'del Campo', 'Arias']",5368,13.09,,
6,Alianza por Chile,UDI,"['Manuel', 'Noman', 'Elías']",7053,17.2,,
6,Concertación,PDC,"['Jaime', 'Mulet', 'Martínez']",17378,42.38,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Mulet_Martínez
6,Concertación,PRSD,"['Alberto', 'Robles', 'Pantoja']",8947,21.82,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alberto_Robles_Pantoja
6,Válidamente emitidos,,[],41008,100.0,,
7,Partido Comunista,PC,"['Eric', 'Toro', 'Díaz']",572,0.71,,
7,Partido Comunista,PC,"['Christián', 'Huaquimilla', 'Manquel']",4475,5.56,,
7,Alianza por Chile,UDI,"['Floridor', 'Pinto', 'Cortés']",17231,21.42,,
7,Alianza por Chile,RN,"['Mario', 'Bertolino', 'Rendic']",17884,22.23,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mario_Bertolino_Rendic
7,Concertación,PPD,"['Víctor', 'Manuel', 'Rebolledo', 'González']",22178,27.57,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Víctor_Manuel_Rebolledo_González
7,Concertación,PDC,"['Ricardo', 'Cifuentes', 'Lillo']",18112,22.51,,
7,Válidamente emitidos,,[],80452,100.0,,
8,Partido Humanista,PH,"['Dagoberto', 'Cortés', 'Carvajal']",1981,2.06,,
8,Alianza por Chile,IND,"['Hugo', 'Zepeda', 'Coll']",10385,10.82,,
8,Alianza por Chile,UDI,"['Ana', 'Victoria', 'Durruty', 'Corral']",20522,21.39,,
8,Concertación,PS,"['Francisco', 'Encina', 'Moriamez']",19544,20.37,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Francisco_Encina_Moriamez
8,Concertación,PDC,"['Patricio', 'Walker', 'Prieto']",43516,45.35,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Patricio_Walker_Prieto
8,Válidamente emitidos,,[],95948,100.0,,
9,Partido Comunista,PC,"['Julián', 'Alcayaga', 'Olivares']",667,1.13,,
9,Partido Comunista,PC,"['Jorge', 'Insunza', 'Becker']",9552,16.11,,
9,Partido Humanista,PH,"['Marco', 'Alfredo', 'Riffo', 'Valdebenito']",518,0.87,,
9,Partido Humanista,PH,"['Hernán', 'Alejandro', 'Gacitúa', 'Cepeda']",604,1.02,,
9,Alianza por Chile,UDI,"['Darío', 'Molina', 'Sanhueza']",13673,23.06,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Darío_Molina_Sanhueza
9,Alianza por Chile,RN,"['Juan', 'Eduardo', 'Jorquera', 'Niño de Zepeda']",6549,11.05,,
9,Concertación,PRSD,"['Leonardo', 'Cubillos', 'Ramírez']",788,1.33,,
9,Concertación,PPD,"['Adriana', 'Muñoz', ""D'Albora""]",23380,39.44,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Adriana_Muñoz_D'Albora
9,Candidatura Independiente,IND,"['Orlando', 'Cerda', 'Silva']",3555,6.0,,
9,Válidamente emitidos,,[],59286,100.0,,
10,Partido Comunista,PC,"['Rodrigo', 'Fuentes', 'González']",2790,2.27,,
10,Partido Comunista,PC,"['Zaida', 'Cancino', 'Sepúlveda']",5553,4.52,,
10,Alianza por Chile,RN,"['Alfonso', 'Vargas', 'Lyng']",38631,31.42,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alfonso_Vargas_Lyng
10,Alianza por Chile,UDI,"['Alfonso', 'Ríos', 'Larraín']",20798,16.91,,
10,Concertación,PRSD,"['Ernesto', 'Velasco', 'Rodríguez']",26394,21.46,,
10,Concertación,PDC,"['María', 'Eugenia', 'Mella', 'Gajardo']",28800,23.42,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Eugenia_Mella_Gajardo
10,Válidamente emitidos,,[],122966,100.0,,
11,Partido Comunista,PC,"['Alejandro', 'Aguilar', 'Gajardo']",4983,5.18,,
11,Partido Humanista,PH,"['Marcela', 'Campolo', 'Fernández']",1994,2.07,,
11,Alianza por Chile,UDI,"['Marcelo', 'Forni', 'Lobos']",22395,23.27,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marcelo_Forni_Lobos
11,Alianza por Chile,IND,"['Boris', 'Luksic', 'Nieto']",21056,21.88,,
11,Concertación,PRSD,"['Iván', 'Mesías', 'Lehu']",19028,19.77,,
11,Concertación,PDC,"['Patricio', 'Cornejo', 'Vidaurrázaga']",26798,27.84,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Patricio_Cornejo_Vidaurrázaga
11,Válidamente emitidos,,[],96254,100.0,,
12,Partido Comunista,PC,"['Armando', 'Figueroa', 'Aranda']",3178,3.11,,
12,Partido Comunista,PC,"['Leonor', 'Sagredo', 'Torres']",1958,1.91,,
12,Alianza por Chile,RN,"['Arturo', 'Longton', 'Guerrero']",29874,29.2,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Arturo_Longton_Guerrero
12,Alianza por Chile,UDI,"['Miguel', 'Schweitzer', 'Fernández']",23199,22.68,,
12,Concertación,PDC,"['Luis', 'Bork', 'Vega']",16884,16.5,,
12,Concertación,PS,"['Juan', 'Bustos', 'Ramírez']",27217,26.6,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_José_Bustos_Ramírez
12,Válidamente emitidos,,[],102310,100.0,,
13,Partido Comunista,PC,"['Alberto', 'Neumann', 'Lagos']",13595,10.45,,
13,Partido Humanista,PH,"['Carlos', 'Alfonso', 'Padilla', 'Rojas']",2074,1.59,,
13,Alianza por Chile,UDI,"['Francisco', 'Bartolucci', 'Johnston']",30047,23.09,,
13,Alianza por Chile,IND,"['Carmen', 'Ibáñez', 'Soto']",32113,24.68,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carmen_Ibáñez_Soto
