Circunscripción,Lista/Pacto,Candidaturas,Votos,Porcentaje,Electos
1,Concertación de Partidos por la Democracia,2,76223,47.13,1
1,Democracia y Progreso,2,49550,30.64,1
1,Liberal-Socialista Chileno,2,6232,3.85,0
1,Candidatura Independiente,1,27064,16.74,0
1,Candidatura Independiente,1,2644,1.63,0
1,Válidamente emitidos,0,161713,100.0,0
2,Concertación de Partidos por la Democracia,2,84460,41.38,1
2,Democracia y Progreso,2,71039,34.81,1
2,Unidad para la Democracia,2,48591,23.81,0
2,Válidamente emitidos,0,204090,100.0,0
3,Concertación de Partidos por la Democracia,2,67228,61.82,1
3,Democracia y Progreso,2,36278,33.36,1
3,Liberal-Socialista Chileno,1,2669,2.45,0
3,Candidatura Independiente,1,2574,2.37,0
3,Válidamente emitidos,0,108749,100.0,0
4,Concertación de Partidos por la Democracia,1,88360,36.85,1
4,Democracia y Progreso,2,85876,35.82,1
4,Alianza de Centro,1,13495,5.63,0
4,Unidad para la Democracia,2,52039,21.7,0
4,Válidamente emitidos,0,239770,100.0,0
5,Concertación de Partidos por la Democracia,2,131916,38.7,1
5,Democracia y Progreso,2,121697,35.7,1
5,Liberal-Socialista Chileno,2,24384,7.15,0
5,Unidad para la Democracia,2,62883,18.45,0
5,Válidamente emitidos,0,340880,100.0,0
6,Concertación de Partidos por la Democracia,2,226961,57.47,1
6,Democracia y Progreso,2,137280,34.76,1
6,Liberal-Socialista Chileno,1,30693,7.77,0
6,Válidamente emitidos,0,394934,100.0,0
7,Concertación de Partidos por la Democracia,2,807948,61.89,1
7,Democracia y Progreso,2,424252,32.5,1
7,Liberal-Socialista Chileno,2,73269,5.61,0
7,Válidamente emitidos,0,1305469,100.0,0
8,Concertación de Partidos por la Democracia,2,829639,58.07,1
8,Democracia y Progreso,2,533530,37.35,1
8,Liberal-Socialista Chileno,1,42633,2.98,0
8,Partido Nacional,1,22810,1.6,0
8,Válidamente emitidos,0,1428612,100.0,0
9,Concertación de Partidos por la Democracia,2,211910,59.22,2
9,Democracia y Progreso,2,98532,27.54,0
9,Alianza de Centro,2,40152,11.22,0
9,Liberal-Socialista Chileno,1,7216,2.02,0
9,Válidamente emitidos,0,357810,100.0,0
10,Concertación de Partidos por la Democracia,2,171160,63.43,2
10,Democracia y Progreso,2,82026,30.4,0
10,Liberal-Socialista Chileno,2,16663,6.17,0
10,Válidamente emitidos,0,269849,100.0,0
11,Concertación de Partidos por la Democracia,2,84299,53.11,1
11,Democracia y Progreso,2,64665,40.74,1
11,Liberal-Socialista Chileno,2,9764,6.15,0
11,Válidamente emitidos,0,158728,100.0,0
12,Concertación de Partidos por la Democracia,1,195766,38.12,1
12,Democracia y Progreso,2,157908,30.75,1
12,Alianza de Centro,1,34964,6.81,0
12,Unidad para la Democracia,1,124884,24.32,0
12,Válidamente emitidos,0,513522,100.0,0
13,Concertación de Partidos por la Democracia,2,213019,59.48,1
13,Democracia y Progreso,2,145109,40.52,1
13,Válidamente emitidos,0,358128,100.0,0
14,Concertación de Partidos por la Democracia,2,69836,50.99,1
14,Democracia y Progreso,2,46182,33.72,1
14,Partido Nacional,2,20931,15.28,0
14,Válidamente emitidos,0,136949,100.0,0
15,Concertación de Partidos por la Democracia,2,122430,49.38,1
15,Democracia y Progreso,2,79941,32.24,1
15,Partido del Sur,1,45584,18.38,0
15,Válidamente emitidos,0,247955,100.0,0
16,Concertación de Partidos por la Democracia,2,143358,58.57,1
16,Democracia y Progreso,2,101403,41.43,1
16,Válidamente emitidos,0,244761,100.0,0
17,Concertación de Partidos por la Democracia,2,117789,55.27,1
17,Democracia y Progreso,2,95317,44.73,1
17,Válidamente emitidos,0,213106,100.0,0
18,Concertación de Partidos por la Democracia,2,20405,55.99,1
18,Democracia y Progreso,2,14862,40.78,1
18,Alianza de Centro,1,697,1.91,0
18,Liberal-Socialista Chileno,2,478,1.31,0
18,Válidamente emitidos,0,36442,100.0,0
19,Concertación de Partidos por la Democracia,2,52282,66.23,2
19,Democracia y Progreso,2,24562,31.11,0
19,Alianza de Centro,1,2099,2.66,0
19,Válidamente emitidos,0,78943,100.0,0
