Circunscripción,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Tarapacá,Concertación de Partidos por la Democracia,PDC,"('Humberto', 'Manuel', 'Palza', 'Corvacho')",45258.0,27.99,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Humberto_Manuel_Palza_Corvacho
Tarapacá,Democracia y Progreso,IND,"('Julio', 'Lagos', 'Cosgrove')",42079.0,26.02,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Julio_Lagos_Cosgrove
Antofagasta,Concertación de Partidos por la Democracia,PDC,"('Carmen', 'Frei', 'Ruiz-Tagle')",58852.0,28.84,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carmen_Frei_Ruiz-Tagle
Antofagasta,Democracia y Progreso,IND,"('Arturo', 'Alessandri', 'Besa')",41672.0,20.42,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Arturo_Alessandri_Besa
Atacama,Concertación de Partidos por la Democracia,PPD,"('Ricardo', 'Núñez', 'Muñoz')",36295.0,33.38,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ricardo_Núñez_Muñoz
Atacama,Democracia y Progreso,RN,"('Ignacio', 'Pérez', 'Walker')",24147.0,22.2,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ignacio_Pérez_Walker
Coquimbo,Concertación de Partidos por la Democracia,PDC,"('Luis', 'Ricardo', 'Hormazábal', 'Sánchez')",88360.0,36.85,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Ricardo_Hormazábal_Sánchez
Coquimbo,Democracia y Progreso,IND,"('Alberto', 'Cooper', 'Valencia')",46490.0,19.39,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alberto_Cooper_Valencia
Valparaíso Cordillera,Concertación de Partidos por la Democracia,PR,"('Carlos', 'González', 'Márquez')",72721.0,21.33,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_González_Márquez
Valparaíso Cordillera,Democracia y Progreso,IND,"('Sergio', 'Romero', 'Pizarro')",71551.0,20.99,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Romero_Pizarro
Valparaíso Costa,Concertación de Partidos por la Democracia,PPD,"('Laura', 'Soto', 'González')",114335.0,28.95,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Laura_Soto_González
Valparaíso Costa,Democracia y Progreso,IND,"('Beltrán', 'Urenda', 'Zegers')",69169.0,17.51,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Beltrán_Urenda_Zegers
Santiago Poniente,Concertación de Partidos por la Democracia,PDC,"('Andrés', 'Zaldívar', 'Larraín')",408227.0,31.27,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrés_Zaldívar_Larraín
