Circunscripción,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Santiago Poniente,Concertación de Partidos por la Democracia,PDC,"('Andrés', 'Zaldívar', 'Larraín')",408227,31.27,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrés_Zaldívar_Larraín
Santiago Poniente,Democracia y Progreso,RN,"('Miguel', 'Otero')",199856,15.31,,,
Santiago Poniente,Democracia y Progreso,UDI,"('Jaime', 'Guzmán', 'Errázuriz')",224396,17.19,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Guzmán_Errázuriz
Santiago Poniente,Liberal-Socialista Chileno,IND,"('Sergio', 'Santander', 'Sepúlveda')",59834,4.58,,,
Santiago Poniente,Liberal-Socialista Chileno,IND,"('Rodrigo', 'Miranda')",13435,1.03,,,
Santiago Poniente,Válidamente emitidos,,(),1305469,100.0,,,
Santiago Oriente,Concertación de Partidos por la Democracia,IND,"('María', 'E.', 'Carrera', 'Villavicencio')",221080,15.48,,,
Santiago Oriente,Concertación de Partidos por la Democracia,PDC,"('Eduardo', 'Frei', 'Ruiz-Tagle')",608559,42.6,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eduardo_Frei_Ruiz-Tagle
Santiago Oriente,Democracia y Progreso,IND,"('Hermógenes', 'Pérez')",208292,14.58,,,
Santiago Oriente,Democracia y Progreso,IND,"('Sebastián', 'Piñera', 'Echenique')",325238,22.77,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sebastián_Piñera_Echenique
Santiago Oriente,Liberal-Socialista Chileno,IND,"('Sergio', 'Vial', 'Williams')",42633,2.98,,,
Santiago Oriente,Partido Nacional,IND,"('Carmen', 'Ida', 'Sáenz', 'Terpelle')",22810,1.6,,,
Santiago Oriente,Válidamente emitidos,,(),1428612,100.0,,,
O'Higgins,Concertación de Partidos por la Democracia,PDC,"('Nicolás', 'Díaz', 'Sánchez')",106182,29.68,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Nicolás_Díaz_Sánchez
O'Higgins,Concertación de Partidos por la Democracia,IND,"('Vladimir', 'Anselmo', 'Sule', 'Candia')",105728,29.55,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Vladimir_Anselmo_Sule_Candia
O'Higgins,Democracia y Progreso,IND,"('Manuel', 'Valdés', 'Valdés')",35764,10.0,,,
O'Higgins,Democracia y Progreso,RN,"('Alfonso', 'Orueta', 'Ansoleaga')",62768,17.54,,,
O'Higgins,Alianza de Centro,IND,"('Rafael', 'Cumsille', 'Zapapa')",24952,6.97,,,
O'Higgins,Alianza de Centro,DR,"('Domingo', 'Durán', 'Neumann')",15200,4.25,,,
O'Higgins,Liberal-Socialista Chileno,PL,"('Ricardo', 'Hernán', 'Bustos', 'Gómez')",7216,2.02,,,
O'Higgins,Válidamente emitidos,,(),357810,100.0,,,
