Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
D1,Concertación de Partidos por la Democracia,PDC,"('Luis', 'Leblanc', 'Valenzuela')",21314,25.08,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Valentín_Ferrada_Valenzuela
D1,Concertación de Partidos por la Democracia,PR,"('Luis', 'Gutiérrez', 'Torres')",15564,18.32,,,
D1,Democracia y Progreso,UDI,"('Patricio', 'Durán', 'Gatica')",5098,6.0,,,
D1,Democracia y Progreso,RN,"('Carlos', 'Valcarce', 'Medina')",21497,25.3,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Valcarce_Medina
D1,Liberal-Socialista Chileno,IND,"('Vicente', 'Jesús', 'Echeverría', 'Guzmán')",2584,3.04,,,
D1,Liberal-Socialista Chileno,IND,"('Pablo', 'Pizarro')",4974,5.85,,,
D1,Unidad para la Democracia,PAIS,"('Juan', 'Restelli', 'Portuguez')",5070,5.97,,,
D1,Unidad para la Democracia,PAIS,"('Orel', 'Viciani', 'Escker')",7089,8.34,,,
D1,Candidatura Independiente,IND,"('Patricio', 'Arancibia', 'Beaumont')",1784,2.1,,,
D1,Válidamente emitidos,,(),84974,100.0,,,
D2,Concertación de Partidos por la Democracia,IND,"('Hugo', 'Calderón', 'Campusano')",10207,13.32,,,
D2,Concertación de Partidos por la Democracia,PPD,"('Vladislav', 'Kuzmicic', 'Calderón')",30007,39.16,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Vladislav_Kuzmicic_Calderón
D2,Democracia y Progreso,RN,"('Marta', 'Marcich', 'Moller')",10669,13.92,,,
D2,Democracia y Progreso,IND,"('Ramón', 'Pérez', 'Opazo')",22782,29.73,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ramón_Segundo_Pérez_Opazo
D2,Alianza de Centro,AN,"('Luis', 'Fernando', 'Díaz', 'Salinas')",2969,3.87,,,
D2,Válidamente emitidos,,(),76634,100.0,,,
D3,Concertación de Partidos por la Democracia,IND,"('Nicanor', 'de la Cruz', 'Araya', 'Araya')",24803,29.16,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Nicanor_Allende_Urrutia
D3,Concertación de Partidos por la Democracia,PDC,"('Luis', 'Sepúlveda', 'Gutiérrez')",21823,25.65,,,
