Circunscripción,Lista/Pacto,Partido,Candidaturas,Votos,Porcentaje,Electos
Tarapacá,Concertación de Partidos por la Democracia,PPD,0,0,0.0,0
Tarapacá,Concertación de Partidos por la Democracia,PDC,1,45258,27.99,1
Tarapacá,Concertación de Partidos por la Democracia,PH,0,0,0.0,0
Tarapacá,Concertación de Partidos por la Democracia,PR,0,0,0.0,0
Tarapacá,Democracia y Progreso,UDI,0,0,0.0,0
Tarapacá,Democracia y Progreso,RN,1,7471,4.62,0
Tarapacá,Alianza de Centro,DR,0,0,0.0,0
Tarapacá,Alianza de Centro,AN,0,0,0.0,0
Tarapacá,Liberal-Socialista Chileno,PS,0,0,0.0,0
Tarapacá,Liberal-Socialista Chileno,PL,0,0,0.0,0
Tarapacá,Unidad para la Democracia,PAIS,0,0,0.0,0
Tarapacá,Candidatura Independiente,IND,1,2644,1.63,0
Tarapacá,Candidatura Independiente,IND,1,27064,16.74,0
Tarapacá,Válidamente emitidos,,0,161713,100.0,0
Antofagasta,Concertación de Partidos por la Democracia,PPD,0,0,0.0,0
Antofagasta,Concertación de Partidos por la Democracia,PH,0,0,0.0,0
Antofagasta,Concertación de Partidos por la Democracia,PDC,1,58852,28.84,1
Antofagasta,Concertación de Partidos por la Democracia,PR,1,25608,12.55,0
Antofagasta,Democracia y Progreso,RN,1,29367,14.39,0
Antofagasta,Democracia y Progreso,UDI,0,0,0.0,0
Antofagasta,Alianza de Centro,DR,0,0,0.0,0
Antofagasta,Alianza de Centro,AN,0,0,0.0,0
Antofagasta,Liberal-Socialista Chileno,PL,0,0,0.0,0
Antofagasta,Liberal-Socialista Chileno,PS,0,0,0.0,0
Antofagasta,Unidad para la Democracia,PAIS,2,48591,23.81,0
Antofagasta,Válidamente emitidos,,0,204090,100.0,0
Atacama,Concertación de Partidos por la Democracia,PPD,1,36295,33.38,1
Atacama,Concertación de Partidos por la Democracia,PDC,1,30933,28.44,0
Atacama,Concertación de Partidos por la Democracia,PH,0,0,0.0,0
Atacama,Concertación de Partidos por la Democracia,PR,0,0,0.0,0
Atacama,Democracia y Progreso,RN,1,24147,22.2,1
Atacama,Democracia y Progreso,UDI,0,0,0.0,0
Atacama,Alianza de Centro,DR,0,0,0.0,0
Atacama,Alianza de Centro,AN,0,0,0.0,0
Atacama,Liberal-Socialista Chileno,PS,0,0,0.0,0
Atacama,Liberal-Socialista Chileno,PL,1,2669,2.45,0
Atacama,Unidad para la Democracia,PAIS,0,0,0.0,0
Atacama,Candidatura Independiente,IND,1,2574,2.37,0
Atacama,Válidamente emitidos,,0,108749,100.0,0
Coquimbo,Concertación de Partidos por la Democracia,PPD,0,0,0.0,0
Coquimbo,Concertación de Partidos por la Democracia,PR,0,0,0.0,0
Coquimbo,Concertación de Partidos por la Democracia,PDC,1,88360,36.85,1
Coquimbo,Concertación de Partidos por la Democracia,PH,0,0,0.0,0
Coquimbo,Democracia y Progreso,UDI,1,39386,16.43,0
Coquimbo,Democracia y Progreso,RN,0,0,0.0,0
Coquimbo,Alianza de Centro,AN,0,0,0.0,0
Coquimbo,Alianza de Centro,DR,1,13495,5.63,0
Coquimbo,Liberal-Socialista Chileno,PS,0,0,0.0,0
Coquimbo,Liberal-Socialista Chileno,PL,0,0,0.0,0
Coquimbo,Unidad para la Democracia,PAIS,2,52039,21.7,0
Coquimbo,Válidamente emitidos,,0,239770,100.0,0
Valparaíso Cordillera,Concertación de Partidos por la Democracia,PH,0,0,0.0,0
Valparaíso Cordillera,Concertación de Partidos por la Democracia,PDC,0,0,0.0,0
Valparaíso Cordillera,Concertación de Partidos por la Democracia,PPD,0,0,0.0,0
Valparaíso Cordillera,Concertación de Partidos por la Democracia,PR,1,72721,21.33,1
Valparaíso Cordillera,Democracia y Progreso,UDI,0,0,0.0,0
Valparaíso Cordillera,Democracia y Progreso,RN,0,0,0.0,0
Valparaíso Cordillera,Alianza de Centro,AN,0,0,0.0,0
Valparaíso Cordillera,Alianza de Centro,DR,0,0,0.0,0
Valparaíso Cordillera,Liberal-Socialista Chileno,PL,0,0,0.0,0
Valparaíso Cordillera,Liberal-Socialista Chileno,PS,0,0,0.0,0
Valparaíso Cordillera,Unidad para la Democracia,PAIS,2,62883,18.45,0
Valparaíso Cordillera,Válidamente emitidos,,0,340880,100.0,0
Valparaíso Costa,Concertación de Partidos por la Democracia,PDC,1,112626,28.52,0
Valparaíso Costa,Concertación de Partidos por la Democracia,PH,0,0,0.0,0
