Circunscripción,Lista/Pacto,Partido,Candidaturas,Votos,Porcentaje,Electos
Antofagasta,Fuerza Regional Independiente,ANI,0,0,0.0,0
Antofagasta,Concertación Democrática,PS,0,0,0.0,0
Antofagasta,Concertación Democrática,PRSD,1,74572,40.15,1
Antofagasta,Concertación Democrática,PPD,0,0,0.0,0
Antofagasta,Concertación Democrática,PDC,1,26287,14.15,0
Antofagasta,Juntos Podemos Más,PH,1,1973,1.06,0
Antofagasta,Juntos Podemos Más,PC,1,5220,2.81,0
Antofagasta,Alianza,RN,1,36045,19.41,1
Antofagasta,Alianza,UDI,1,34183,18.4,0
Antofagasta,Válidamente emitidos,,0,185728,100.0,0
Coquimbo,Fuerza Regional Independiente,ANI,0,0,0.0,0
Coquimbo,Concertación Democrática,PRSD,0,0,0.0,0
Coquimbo,Concertación Democrática,PDC,1,101671,40.37,1
Coquimbo,Concertación Democrática,PPD,0,0,0.0,0
Coquimbo,Concertación Democrática,PS,1,48931,19.43,0
Coquimbo,Juntos Podemos Más,PH,1,6384,2.53,0
Coquimbo,Juntos Podemos Más,PC,1,10607,4.21,0
Coquimbo,Alianza,UDI,1,71697,28.47,1
Coquimbo,Alianza,RN,1,12571,4.99,0
Coquimbo,Válidamente emitidos,,0,251861,100.0,0
Santiago Poniente,Fuerza Regional Independiente,ANI,0,0,0.0,0
Santiago Poniente,Concertación Democrática,PDC,1,286917,23.02,0
Santiago Poniente,Concertación Democrática,PRSD,0,0,0.0,0
Santiago Poniente,Concertación Democrática,PS,0,0,0.0,0
Santiago Poniente,Concertación Democrática,PPD,1,439903,35.3,1
Santiago Poniente,Juntos Podemos Más,PC,0,0,0.0,0
Santiago Poniente,Juntos Podemos Más,PH,0,0,0.0,0
Santiago Poniente,Alianza,UDI,1,258539,20.75,1
Santiago Poniente,Alianza,RN,0,0,0.0,0
Santiago Poniente,Válidamente emitidos,,0,1246179,100.0,0
Santiago Oriente,Fuerza Regional Independiente,ANI,0,0,0.0,0
Santiago Oriente,Concertación Democrática,PS,1,75513,5.68,0
Santiago Oriente,Concertación Democrática,PRSD,0,0,0.0,0
Santiago Oriente,Concertación Democrática,PPD,0,0,0.0,0
Santiago Oriente,Concertación Democrática,PDC,1,582117,43.81,1
Santiago Oriente,Juntos Podemos Más,PH,1,30338,2.28,0
Santiago Oriente,Juntos Podemos Más,PC,1,60589,4.56,0
Santiago Oriente,Alianza,RN,1,261663,19.69,0
Santiago Oriente,Alianza,UDI,1,318434,23.97,1
Santiago Oriente,Válidamente emitidos,,0,1328654,100.0,0
O'Higgins,Fuerza Regional Independiente,ANI,0,0,0.0,0
O'Higgins,Concertación Democrática,PPD,1,72393,19.39,0
O'Higgins,Concertación Democrática,PRSD,0,0,0.0,0
O'Higgins,Concertación Democrática,PS,1,154894,41.5,1
O'Higgins,Concertación Democrática,PDC,0,0,0.0,0
O'Higgins,Juntos Podemos Más,PC,0,0,0.0,0
O'Higgins,Juntos Podemos Más,PH,1,9852,2.64,0
O'Higgins,Alianza,UDI,1,94877,25.42,1
O'Higgins,Alianza,RN,0,0,0.0,0
O'Higgins,Válidamente emitidos,,0,373266,100.0,0
Bío-Bío Costa,Fuerza Regional Independiente,ANI,0,0,0.0,0
Bío-Bío Costa,Concertación Democrática,PDC,1,127803,25.62,1
Bío-Bío Costa,Concertación Democrática,PPD,0,0,0.0,0
Bío-Bío Costa,Concertación Democrática,PS,1,209410,41.97,1
Bío-Bío Costa,Concertación Democrática,PRSD,0,0,0.0,0
Bío-Bío Costa,Juntos Podemos Más,PC,0,0,0.0,0
Bío-Bío Costa,Juntos Podemos Más,PH,1,10547,2.11,0
Bío-Bío Costa,Alianza,UDI,1,116341,23.32,0
Bío-Bío Costa,Alianza,RN,0,0,0.0,0
Bío-Bío Costa,Válidamente emitidos,,0,498912,100.0,0
Bío-Bío Cordillera,Fuerza Regional Independiente,ANI,0,0,0.0,0
Bío-Bío Cordillera,Concertación Democrática,PDC,1,139657,39.31,1
Bío-Bío Cordillera,Concertación Democrática,PRSD,0,0,0.0,0
Bío-Bío Cordillera,Concertación Democrática,PS,0,0,0.0,0
Bío-Bío Cordillera,Concertación Democrática,PPD,0,0,0.0,0
Bío-Bío Cordillera,Juntos Podemos Más,PH,1,10030,2.82,0
Bío-Bío Cordillera,Juntos Podemos Más,PC,1,16521,4.65,0
Bío-Bío Cordillera,Alianza,RN,1,67822,19.09,0
Bío-Bío Cordillera,Alianza,UDI,1,83170,23.41,1
Bío-Bío Cordillera,Válidamente emitidos,,0,355253,100.0,0
Los Lagos Norte,Fuerza Regional Independiente,ANI,2,13076,5.51,0
Los Lagos Norte,Concertación Democrática,PDC,1,85145,35.86,1
Los Lagos Norte,Concertación Democrática,PPD,0,0,0.0,0
Los Lagos Norte,Concertación Democrática,PRSD,1,39943,16.82,0
Los Lagos Norte,Concertación Democrática,PS,0,0,0.0,0
Los Lagos Norte,Juntos Podemos Más,PH,0,0,0.0,0
Los Lagos Norte,Juntos Podemos Más,PC,1,6369,2.68,0
Los Lagos Norte,Alianza,RN,1,90030,37.92,1
Los Lagos Norte,Alianza,UDI,0,0,0.0,0
Los Lagos Norte,Válidamente emitidos,,0,237408,100.0,0
Los Lagos Sur,Fuerza Regional Independiente,ANI,0,0,0.0,0
Los Lagos Sur,Concertación Democrática,PPD,0,0,0.0,0
Los Lagos Sur,Concertación Democrática,PDC,1,56661,24.87,0
Los Lagos Sur,Concertación Democrática,PS,1,65337,28.68,1
Los Lagos Sur,Concertación Democrática,PRSD,0,0,0.0,0
Los Lagos Sur,Juntos Podemos Más,PC,1,5381,2.36,0
Los Lagos Sur,Juntos Podemos Más,PH,0,0,0.0,0
Los Lagos Sur,Alianza,RN,1,47054,20.66,1
Los Lagos Sur,Alianza,UDI,1,40774,17.9,0
