Circunscripción,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Tarapacá,Concertación Democrática,PPD,"('Fernando', 'Flores', 'Labra')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Fernando_Flores_Labra
Tarapacá,Alianza,UDI,"('Jaime', 'Orpis', 'Bouchon')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Orpis_Bouchon
Antofagasta,Fuerza Regional Independiente,IND,"('Luis', 'Ernesto', 'Thompson', 'Araya')",4836,2.6,,,
Antofagasta,Fuerza Regional Independiente,IND,"('Humberto', 'Zuleta', 'Alvarado')",2612,1.41,,,
Antofagasta,Concertación Democrática,PDC,"('Carmen', 'Frei', 'Ruiz-Tagle')",26287,14.15,,,
Antofagasta,Concertación Democrática,PRSD,"('José', 'Antonio', 'Gómez', 'Urrutia')",74572,40.15,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Antonio_Argomedo_González
Antofagasta,Juntos Podemos Más,PC,"('Salvador', 'Barrientos', 'Muñoz')",5220,2.81,,,
Antofagasta,Juntos Podemos Más,PH,"('José', 'Gabriel', 'Feres', 'Nazarala')",1973,1.06,,,
Antofagasta,Alianza,RN,"('Carlos', 'Cantero', 'Ojeda')",36045,19.41,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Cantero_Ojeda
Antofagasta,Alianza,UDI,"('Cristián', 'Leay', 'Morán')",34183,18.4,,,
Antofagasta,Válidamente emitidos,,(),185728,100.0,,,
Atacama,Concertación Democrática,PS,"('Ricardo', 'Núñez', 'Muñoz')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ricardo_Núñez_Muñoz
Atacama,Alianza,RN,"('Baldo', 'Prokurica', 'Prokurica')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Baldo_Prokurica_Prokurica
Coquimbo,Concertación Democrática,PDC,"('Jorge', 'Pizarro', 'Soto')",101671,40.37,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Pizarro_Soto
Coquimbo,Concertación Democrática,PS,"('Jorge', 'Arrate', 'Mac-Niven')",48931,19.43,,,
Coquimbo,Juntos Podemos Más,PH,"('Joaquín', 'Arduengo', 'Naredo')",6384,2.53,,,
Coquimbo,Juntos Podemos Más,PC,"('Luis', 'Aguilera', 'González')",10607,4.21,,,
Coquimbo,Alianza,UDI,"('Evelyn', 'Matthei', 'Fornet')",71697,28.47,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Evelyn_Matthei_Fornet
Coquimbo,Alianza,RN,"('Arturo', 'Longton', 'Guerrero')",12571,4.99,,,
Coquimbo,Válidamente emitidos,,(),251861,100.0,,,
Valparaíso Cordillera,Concertación Democrática,PS,"('Carlos', 'Ominami', 'Pascual')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Ominami_Pascual
