Circunscripción,Lista/Pacto,Candidaturas,Votos,Porcentaje,Electos
Antofagasta,Fuerza Regional Independiente,2,7448,4.01,0
Antofagasta,Concertación Democrática,2,100859,54.3,1
Antofagasta,Juntos Podemos Más,2,7193,3.87,0
Antofagasta,Alianza,2,70228,37.81,1
Antofagasta,Válidamente emitidos,0,185728,100.0,0
Coquimbo,Fuerza Regional Independiente,0,0,0.0,0
Coquimbo,Concertación Democrática,2,150602,59.8,1
Coquimbo,Juntos Podemos Más,2,16991,6.75,0
Coquimbo,Alianza,2,84268,33.46,1
Coquimbo,Válidamente emitidos,0,251861,100.0,0
Santiago Poniente,Fuerza Regional Independiente,0,0,0.0,0
Santiago Poniente,Concertación Democrática,2,726820,58.32,1
Santiago Poniente,Juntos Podemos Más,2,85853,6.89,0
Santiago Poniente,Alianza,2,433506,34.79,1
Santiago Poniente,Válidamente emitidos,0,1246179,100.0,0
Santiago Oriente,Fuerza Regional Independiente,0,0,0.0,0
Santiago Oriente,Concertación Democrática,2,657630,49.5,1
Santiago Oriente,Juntos Podemos Más,2,90927,6.84,0
Santiago Oriente,Alianza,2,580097,43.66,1
Santiago Oriente,Válidamente emitidos,0,1328654,100.0,0
O'Higgins,Fuerza Regional Independiente,0,0,0.0,0
O'Higgins,Concertación Democrática,2,227287,60.89,1
O'Higgins,Juntos Podemos Más,2,16723,4.48,0
O'Higgins,Alianza,2,129256,34.63,1
O'Higgins,Válidamente emitidos,0,373266,100.0,0
Bío-Bío Costa,Fuerza Regional Independiente,0,0,0.0,0
Bío-Bío Costa,Concertación Democrática,2,337213,67.59,2
Bío-Bío Costa,Juntos Podemos Más,2,22865,4.58,0
Bío-Bío Costa,Alianza,2,138834,27.83,0
Bío-Bío Costa,Válidamente emitidos,0,498912,100.0,0
Bío-Bío Cordillera,Fuerza Regional Independiente,0,0,0.0,0
Bío-Bío Cordillera,Concertación Democrática,2,177710,50.02,1
Bío-Bío Cordillera,Juntos Podemos Más,2,26551,7.47,0
Bío-Bío Cordillera,Alianza,2,150992,42.5,1
Bío-Bío Cordillera,Válidamente emitidos,0,355253,100.0,0
Los Lagos Norte,Fuerza Regional Independiente,2,13076,5.51,0
Los Lagos Norte,Concertación Democrática,2,125088,52.69,1
Los Lagos Norte,Juntos Podemos Más,2,9214,3.88,0
Los Lagos Norte,Alianza,1,90030,37.92,1
Los Lagos Norte,Válidamente emitidos,0,237408,100.0,0
Los Lagos Sur,Fuerza Regional Independiente,2,9820,4.31,0
Los Lagos Sur,Concertación Democrática,2,121998,53.56,1
Los Lagos Sur,Juntos Podemos Más,2,8142,3.57,0
Los Lagos Sur,Alianza,2,87828,38.56,1
Los Lagos Sur,Válidamente emitidos,0,227788,100.0,0
Magallanes,Fuerza Regional Independiente,0,0,0.0,0
Magallanes,Concertación Democrática,2,33791,51.25,1
Magallanes,Juntos Podemos Más,2,1615,2.45,0
Magallanes,Alianza,2,12251,18.58,0
Magallanes,Candidatura Independiente,1,18275,27.72,1
Magallanes,Válidamente emitidos,0,65932,100.0,0
