Circunscripción,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Tarapacá,Alianza,UDI,"('Jaime', 'Orpis', 'Bouchon')",0.0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Orpis_Bouchon
Tarapacá,Concertación Democrática,PPD,"('Fernando', 'Flores', 'Labra')",0.0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Fernando_Flores_Labra
Antofagasta,Alianza,RN,"('Carlos', 'Cantero', 'Ojeda')",36045.0,19.41,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Cantero_Ojeda
Antofagasta,Concertación Democrática,PRSD,"('José', 'Antonio', 'Gómez', 'Urrutia')",74572.0,40.15,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Antonio_Argomedo_González
Atacama,Alianza,RN,"('Baldo', 'Prokurica', 'Prokurica')",0.0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Baldo_Prokurica_Prokurica
Atacama,Concertación Democrática,PS,"('Ricardo', 'Núñez', 'Muñoz')",0.0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ricardo_Núñez_Muñoz
Coquimbo,Alianza,UDI,"('Evelyn', 'Matthei', 'Fornet')",71697.0,28.47,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Evelyn_Matthei_Fornet
Coquimbo,Concertación Democrática,PDC,"('Jorge', 'Pizarro', 'Soto')",101671.0,40.37,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Pizarro_Soto
Valparaíso Cordillera,Alianza,RN,"('Sergio', 'Romero', 'Pizarro')",0.0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Romero_Pizarro
Valparaíso Cordillera,Concertación Democrática,PS,"('Carlos', 'Ominami', 'Pascual')",0.0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Ominami_Pascual
Valparaíso Costa,Alianza,UDI,"('Jorge', 'Arancibia', 'Reyes')",0.0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Patricio_Arancibia_Reyes
Valparaíso Costa,Concertación Democrática,PRSD,"('Nelson', 'Ávila', 'Contreras')",0.0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Nelson_Jaime_Ávila_Contreras
Santiago Poniente,Alianza,UDI,"('Jovino', 'Novoa', 'Vásquez')",258539.0,20.75,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jovino_Novoa_Vásquez
Santiago Poniente,Concertación Democrática,PPD,"('Guido', 'Girardi', 'Lavín')",439903.0,35.3,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Guido_Girardi_Lavín
Santiago Oriente,Alianza,UDI,"('Pablo', 'Longueira', 'Montes')",318434.0,23.97,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pablo_Longueira_Montes
Santiago Oriente,Concertación Democrática,PDC,"('Soledad', 'Alvear', 'Valenzuela')",582117.0,43.81,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Soledad_Alvear_Valenzuela
O'Higgins,Alianza,UDI,"('Andrés', 'Chadwick', 'Piñera')",94877.0,25.42,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrés_Pío_Bernardino_Chadwick_Piñera
O'Higgins,Concertación Democrática,PS,"('Juan', 'Pablo', 'Letelier', 'Morel')",154894.0,41.5,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Pablo_Letelier_Morel
Maule Norte,Alianza,UDI,"('Juan', 'Antonio', 'Coloma', 'Correa')",0.0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Antonio_Coloma_Correa
Maule Norte,Concertación Democrática,PS,"('Jaime', 'Gazmuri', 'Mujica')",0.0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Gazmuri_Mujica
Maule Sur,Alianza,UDI,"('Hernán', 'Larraín', 'Fernández')",0.0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Hernán_Larraín_Fernández
Maule Sur,Concertación Democrática,PS,"('Jaime', 'Naranjo', 'Ortiz')",0.0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Naranjo_Ortiz
Bío-Bío Costa,Concertación Democrática,PS,"('Alejandro', 'Navarro', 'Brain')",209410.0,41.97,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alejandro_Navarro_Brain
Bío-Bío Costa,Concertación Democrática,PDC,"('Hosain', 'Sabag', 'Castillo')",127803.0,25.62,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Hosain_Sabag_Castillo
Bío-Bío Cordillera,Alianza,UDI,"('Víctor', 'Pérez', 'Varela')",83170.0,23.41,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Víctor_Pérez_Varela
