Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
1,Derecha,PL,"['Luis', 'Eduardo', 'Undurraga', 'Correa']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Eduardo_Undurraga_Correa
1,Alianza Democrática de Chile,PR,"['Oscar', 'Quina', 'Pieper']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Oscar_Quina_Pieper
1,Alianza Democrática de Chile,PPN,"['Ricardo', 'Fonseca', 'Aguayo']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ricardo_Fonseca_Aguayo
1,Falange Nacional,FN,"['Radomiro', 'Tomic', 'Romero']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Radomiro_Tomic_Romero
2,Derecha,PL,"['Carlos', 'Souper', 'Maturana']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Souper_Maturana
2,Alianza Democrática de Chile,PPN,"['José', 'Celestino', 'Díaz', 'Iturrieta']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Celestino_Díaz_Iturrieta
2,Alianza Democrática de Chile,PR,"['Fernando', 'Cisternas', 'Ortiz']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fernando_Cisternas_Ortiz
2,Alianza Democrática de Chile,PR,"['José', 'Avilés', 'Avilés']",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Avilés_Avilés
2,Alianza Democrática de Chile,PPN,"['Bernardo', 'Araya', 'Zuleta']",,,*,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Bernardo_Araya_Zuleta
2,Alianza Democrática de Chile,PR,"['Pedro', 'Oyarzún', 'Callejas']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Oyarzún_Callejas
2,Alianza Democrática de Chile,PPN,"['Víctor', 'Benito', 'Contreras', 'Tapia']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Víctor_Benito_Contreras_Tapia
2,Falange Nacional,FN,"['Bernardo', 'Leighton', 'Guzmán']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Bernardo_Leighton_Guzmán
3,Derecha,PCon,"['Andrés', 'Walker', 'Valdés']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrés_Walker_Valdés
3,Alianza Democrática de Chile,PR,"['Carlos', 'Melej', 'Nazar']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Melej_Nazar
4,Derecha,PL,"['Raúl', 'Marín', 'Balmaceda']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Raúl_Marín_Balmaceda
4,Derecha,PL,"['Hugo', 'Alejandro', 'Zepeda', 'Barrios']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Hugo_Alejandro_Zepeda_Barrios
4,Alianza Democrática de Chile,PR,"['Gustavo', 'Olivares', 'Faúndez']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gustavo_Olivares_Faúndez
4,Alianza Democrática de Chile,PPN,"['Humberto', 'Abarca', 'Cabrera']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Humberto_Abarca_Cabrera
4,Alianza Democrática de Chile,PDo,"['Edmundo', 'Pizarro', 'Cabezas']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Edmundo_Pizarro_Cabezas
4,Alianza Democrática de Chile,PPN,"['Cipriano', 'Agustín', 'Pontigo', 'Urrutia']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Cipriano_Agustín_Pontigo_Urrutia
4,Alianza Democrática de Chile,PS,"['Luis', 'Estenio', 'Mesa', 'Castillo']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Estenio_Mesa_Castillo
5,Derecha,PL,"['Marcelo', 'Abelardo', 'Pizarro', 'Herrera']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marcelo_Abelardo_Pizarro_Herrera
5,Derecha,PCon,"['José', 'Alberto', 'Echeverría', 'Moorhouse']",,,*,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Alberto_Echeverría_Moorhouse
5,Alianza Democrática de Chile,PR,"['Alfredo', 'Rosende', 'Verdugo']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alfredo_Rosende_Verdugo
6,Derecha,PCon,"['Francisco', 'Palma', 'Sanguinetti']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Palma_Sanguinetti
6,Derecha,PL,"['Fernando', 'Máximo', 'Lorca', 'Cortínez']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fernando_Máximo_Lorca_Cortínez
6,Derecha,PCon,"['Enrique', 'Wiegand', 'Frodden']",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Enrique_Wiegand_Frodden
6,Derecha,PL,"['Fernando', 'Vial', 'Letelier']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fernando_Vial_Letelier
6,Derecha,PCon,"['Alfredo', 'Fernando', 'Silva', 'Carvallo']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alfredo_Fernando_Silva_Carvallo
6,Derecha,PCon,"['Juan', 'Escala', 'Garnham']",,,*,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Escala_Garnham
6,Derecha,PCon,"['Alberto', 'Jorge', 'Ceardi', 'Ferrer']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alberto_Jorge_Ceardi_Ferrer
6,Derecha,PCon,"['Fernando', 'Durán', 'Villarreal']",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fernando_Durán_Villarreal
6,Alianza Democrática de Chile,PR,"['Alfredo', 'Nazar', 'Feres']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alfredo_Nazar_Feres
6,Alianza Democrática de Chile,PPN,"['Juan', 'Diógenes', 'Vargas', 'Puebla']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Diógenes_Vargas_Puebla
6,Alianza Democrática de Chile,PR,"['Ismael', 'Carrasco', 'Rábago']",,,*,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ismael_Carrasco_Rábago
6,Alianza Democrática de Chile,PR,"['Luis', 'Bossay', 'Leiva']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Bossay_Leiva
6,Alianza Democrática de Chile,PPN,"['Alfredo', 'Escobar', 'Zamora']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alfredo_Escobar_Zamora
6,Falange Nacional,FN,"['Raúl', 'Le Roy', 'Le Roy']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Raúl_Le_Roy_Le_Roy
8,Derecha,PL,"['Eduardo', 'Pompeyo', 'Moore', 'Montero']",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eduardo_Pompeyo_Moore_Montero
8,Derecha,PL,"['Enrique', 'Madrid', 'Osorio']",,,*,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Enrique_Madrid_Osorio
8,Derecha,PCon,"['Sergio', 'José', 'María', 'Marcos', 'Fernández', 'Larraín']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_José_María_Marcos_Fernández_Larraín
8,Derecha,PCon,"['Luis', 'Valdés', 'Larraín']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Valdés_Larraín
8,Alianza Democrática de Chile,PPN,"['Luis', 'Valenzuela', 'Valenzuela']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Valenzuela_Valenzuela
8,Alianza Democrática de Chile,PR,"['Raúl', 'Brañes', 'Farmer']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Raúl_Brañes_Farmer
9,Derecha,PL,"['Fernando', 'Morandé', 'Dávila']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fernando_Morandé_Dávila
9,Derecha,PCon,"['Francisco', 'Javier', 'Labbé', 'Labbé']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Javier_Labbé_Labbé
9,Derecha,PL,"['Humberto', 'Yáñez', 'Velasco']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Humberto_Yáñez_Velasco
9,Derecha,PCon,"['Salvador', 'Correa', 'Larraín']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Salvador_Correa_Larraín
9,Alianza Democrática de Chile,PPN,"['Carlos', 'Arturo', 'Rosales', 'Gutiérrez']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Arturo_Rosales_Gutiérrez
9,Alianza Democrática de Chile,PR,"['Sebastián', 'Santandreu', 'Herrera']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sebastián_Santandreu_Herrera
10,Derecha,PCon,"['Ismael', 'Pereira', 'Lyon']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ismael_Pereira_Lyon
10,Derecha,PL,"['Jorge', 'Guillermo', 'Eusebio', 'Errázuriz', 'Echenique']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Guillermo_Eusebio_Errázuriz_Echenique
10,Derecha,PCon,"['Francisco', 'Bulnes', 'Sanfuentes']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Bulnes_Sanfuentes
10,Alianza Democrática de Chile,PR,"['Eduardo', 'Mella', 'Mella']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eduardo_Mella_Mella
11,Derecha,PL,"['René', 'Benedicto', 'León', 'Echaíz']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/René_Benedicto_León_Echaíz
11,Derecha,PCon,"['Luis', 'Cabrera', 'Ferrada']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Cabrera_Ferrada
11,Alianza Democrática de Chile,PR,"['Raúl', 'Juliet', 'Gómez']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Raúl_Juliet_Gómez
12,Derecha,PCon,"['Camilo', 'Prieto', 'Concha']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Camilo_Prieto_Concha
12,Derecha,PCon,"['Juan', 'de Dios', 'Reyes', 'Moya']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_de_Dios_Reyes_Moya
12,Derecha,PL,"['Oscar', 'Commentz', 'Vaccaro']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Oscar_Commentz_Vaccaro
12,Derecha,PL,"['Guillermo', 'Donoso', 'Grez']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Guillermo_Donoso_Grez
12,Alianza Democrática de Chile,PR,"['Marcelo', 'Ruiz', 'Solar']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marcelo_Ruiz_Solar
13,Derecha,PCon,"['Raúl', 'Yrarrázaval', 'Lecaros']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Raúl_Yrarrázaval_Lecaros
13,Derecha,PL,"['Eduardo', 'Alessandri', 'Rodríguez']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eduardo_Alessandri_Rodríguez
13,Alianza Democrática de Chile,PR,"['Amílcar', 'Chiorrini', 'Alveti']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Amílcar_Chiorrini_Alveti
